Machine_Instance,Machine_Family_Name,Lot_Name,Logpoint,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Start_Time,Completion_Time,Pass_No,Finished,Package
CLFTEA35,ETS-2-64,5840979,4410,17216,1050,N,PS62742DSSR-LK,6552808A,1,09/16/2015 10:06:00,9/16/2015 10:6:2,09/16/2015 12:24:34,1,Y,DSSST
CLFTEA35,ETS-2-64,5840978,4410,17269,1050,N,PS62742DSSR-LK,6552808A,1,09/16/2015 10:06:00,9/16/2015 12:24:34,09/16/2015 14:43:35,1,Y,DSSST
CLFTEA35,ETS-2-64,5840977,4410,17250,1050,N,PS62742DSSR-LK,6552808A,1,09/16/2015 10:06:00,9/16/2015 14:43:35,09/16/2015 17:02:26,1,Y,DSSST
CLFTEA35,ETS-2-64,5828935,4410,8640,1414,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/16/2015 17:2:26,09/16/2015 18:16:44,1,Y,DSSST
CLFTEA35,ETS-2-64,5828933,4410,17241,1414,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/16/2015 18:16:44,09/16/2015 20:44:56,1,Y,DSSST
CLFTEA35,ETS-2-64,5828932,4410,17248,1414,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/16/2015 20:44:56,09/16/2015 23:13:12,1,Y,DSSST
CLFTEA35,ETS-2-64,5828929,4410,17266,1414,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/16/2015 23:13:12,09/17/2015 01:41:37,1,Y,DSSST
CLFTEA35,ETS-2-64,5834860,4410,12383,1222,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 1:41:37,09/17/2015 03:28:04,1,Y,DSSST
CLFTEA35,ETS-2-64,5837553,4410,17276,1121,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 3:28:4,09/17/2015 05:56:34,1,Y,DSSST
CLFTEA35,ETS-2-64,5837554,4410,17274,1121,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 5:56:34,09/17/2015 08:25:04,1,Y,DSSST
CLFTEA35,ETS-2-64,5837556,4410,17278,1121,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 8:25:4,09/17/2015 10:53:35,1,Y,DSSST
CLFTEA35,ETS-2-64,5844137,4410,17275,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 10:53:35,09/17/2015 13:22:05,1,Y,DSSST
CLFTEA35,ETS-2-64,5844138,4410,17279,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 13:22:5,09/17/2015 15:50:36,1,Y,DSSST
CLFTEA35,ETS-2-64,5844143,4410,17274,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 15:50:36,09/17/2015 18:19:06,1,Y,DSSST
CLFTEA35,ETS-2-64,5844146,4410,12442,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 18:19:6,09/17/2015 20:06:03,1,Y,DSSST
CLFTEA35,ETS-2-64,5844139,4410,17277,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 20:6:3,09/17/2015 22:34:34,1,Y,DSSST
CLFTEA35,ETS-2-64,5844141,4410,17279,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/17/2015 22:34:34,09/18/2015 01:03:06,1,Y,DSSST
CLFTEA35,ETS-2-64,5844145,4410,17272,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/18/2015 1:3:6,09/18/2015 03:31:34,1,Y,DSSST
CLFTEA35,ETS-2-64,5844144,4410,17256,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/18/2015 3:31:34,09/18/2015 05:59:54,1,Y,DSSST
CLFTEA35,ETS-2-64,5844140,4410,17271,955,N,S62740DSSR1-LK,6552808A,1,09/16/2015 10:06:00,9/18/2015 5:59:54,09/18/2015 08:28:22,1,Y,DSSST
CLFTEA50,ETS-2-64,5846979,4410,7947,688,N,N1006030RTER-C,6522212C,1,09/16/2015 10:06:00,9/16/2015 10:6:2,09/16/2015 12:00:49,1,Y,RTE
CLFTEA50,ETS-2-64,5840294,4410,13772,878,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/16/2015 12:0:49,09/16/2015 15:12:06,1,Y,RTE
CLFTEA50,ETS-2-64,5840291,4410,13767,878,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/16/2015 15:12:6,09/16/2015 18:23:18,1,Y,RTE
CLFTEA50,ETS-2-64,5840296,4410,11297,878,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/16/2015 18:23:18,09/16/2015 21:00:13,1,Y,RTE
CLFTEA50,ETS-2-64,5840292,4410,13741,878,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/16/2015 21:0:13,09/17/2015 00:11:03,1,Y,RTE
CLFTEA50,ETS-2-64,5840293,4410,13795,878,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/17/2015 0:11:3,09/17/2015 03:22:39,1,Y,RTE
CLFTEA50,ETS-2-64,5840295,4410,13768,878,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/17/2015 3:22:39,09/17/2015 06:33:52,1,Y,RTE
CLFTEA50,ETS-2-64,5841078,4410,13808,854,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/17/2015 6:33:52,09/17/2015 09:45:39,1,Y,RTE
CLFTEA50,ETS-2-64,5841087,4410,13781,854,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/17/2015 9:45:39,09/17/2015 12:57:03,1,Y,RTE
CLFTEA50,ETS-2-64,5841079,4410,13773,854,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/17/2015 12:57:3,09/17/2015 16:08:20,1,Y,RTE
CLFTEA50,ETS-2-64,5841077,4410,13791,854,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/17/2015 16:8:20,09/17/2015 19:19:52,1,Y,RTE
CLFTEA50,ETS-2-64,5841080,4410,13741,854,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/17/2015 19:19:52,09/17/2015 22:30:43,1,Y,RTE
CLFTEA50,ETS-2-64,5841082,4410,13798,854,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/17/2015 22:30:43,09/18/2015 01:42:21,1,Y,RTE
CLFTEA50,ETS-2-64,5841086,4410,13792,854,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/18/2015 1:42:21,09/18/2015 04:53:55,1,Y,RTE
CLFTEA50,ETS-2-64,5841075,4410,13762,854,N,PS54218RTER3-C,6522212C,1,09/16/2015 10:06:00,9/18/2015 4:53:55,09/18/2015 08:05:03,1,Y,RTE
CLFTEA63,ETS-2-64,5830456,4410,77,9567,N,PS53513RVER-LN,6543758C,1,09/16/2015 10:06:00,9/16/2015 10:6:2,09/16/2015 10:07:37,1,Y,RVECLIP
