Machine,Time
CLFTEA35,46.3728
CLFTEA50,45.9842
CLFTEA63,46.3638
CLFTEA85,45.5572
CLFTEA90,0
CLFTEA72,47.8617
CLFTEA88,23.1677
CLFTEA14,45.0246
CLFTEA7,35.7525
CLFTEA59,47.2203
CLFTEA37,23.6858
CLFTEA78,24.7237
CLFTEA44,31.3626
CLFTEA62,45.4601
CLFTEA39,11.6467
CLFTEA30,29.6502
CLFTEA31,32.1668
CLFTEA69,19.0821
CLFTEA80,46.2574
CLFTEA33,47.9907
CLFTEA18,46.9214
CLFTEA92,47.6301
CLFTEA19,43.6107
CLFTEA56,3.37078
CLFTEA54,46.8927
CLFTEA42,30.0535
CLFTEA17,44.4494
CLFTEA53,47.2893
CLFTEA32,44.1244
CLFTEA34,26.2698
CLFTEA52,47.8636
CLFTEA68,6.16538
CLFTEA25,46.5323
CLFTEA38,47.3067
CLFTEA75,43.0284
CLFTEA66,44.873
CLFTEA76,45.0825
CLFTEA71,23.3069
CLFTEA64,8.803
CLFTEA36,21.0902
CLFTEA12,42.1236
CLFTEA41,45.069
CLFTEA26,47.7803
CLFTEA79,12.0484
CLFTEA15,44.0468
CLFTEA29,44.1628
CLFTEA89,47.7687
CLFTEA22,45.337
CLFTEA49,44.11
CLFTEA13,7.67814
CLFTEA43,9.86969
CLFTEA58,38.7966
CLFTEA47,47.7633
CLFTEA48,9.68209
CLFTEA84,32.9981
CLFTEA45,40.5419
CLFTEA51,17.2637
CLFTEA27,12.2507
CLFTEA65,6.50716
CLFTEA9,5.7969
CLFTEA77,44.5149
CLFTEA20,28.4753
CLFTEA74,33.1453
CLFTEA87,15.2064
CLFTEA60,12.7633
CLFTEA83,6.75936
CLFTEA61,47.0133
CLFTEA86,10.3286
CLFTEA67,9.15424
CLFTEA70,5.41341
CLFTEA73,44.4428
CLFTEA23,26.9311
CLFTEA81,3.89966
CLFTEA3,5.5607
CLFTEA46,2.87807
CLFTEA10,17.6879
CLFTEA57,7.23265
CLFTEA24,39.6257
CLFTEA6,7.40339
CLFTEA11,44.3933
CLFTEA91,0
CLFTEA97,0
CLFTEA99,0
