ID,PKG Name,PKG_penalty
1,3X3,111229
2,3X2.5,0
3,6X5,627357
4,3X2,0
5,3.5X3.5,0
6,4.5X3.5,0
7,4X4,0
8,5X5,0
9,8X8,0
10,6X6,0
11,5X2.5,0
12,2X2,0
13,9X9,0
14,2.5X2.5,675202
15,1.5X1.5,0
16,7X5,0
17,3X4,0
18,5.5X3.5,0
19,7X7,0
20,4X3,0
21,4.0X3.5,0
22,dummy_pkg,0

0,-100,
Device ID,Device Name,PKG Name,PIN
1,090QRGTRQ12-G2,3X3,0
2,4519RTER1-RQR&,3X3,0
3,G62130ARGTRS-L,3X3,0
4,SD87381P6-UNR&,3X2.5,0
5,PS53318DQPR-LN,6X5,0
6,BQ25040DQCR-G2,3X2,0
7,4622RHLR1-LQR#,3.5X3.5,0
8,2592ZADRCR-G2K,3X3,0
9,BQ24130RHLR-G2,4.5X3.5,0
10,S53515ARVER-LN,4.5X3.5,0
11,RV2667RGPR2-8P,4X4,0
12,S61087DRCR-G2Y,3X3,0
13,A2313IDRGR1-CK,3X3,0
14,PS65168RSBR1-R,5X5,0
15,TPS2388RTQR-C,8X8,0
16,202027DRSLR-G2,6X6,0
17,A6203A1DRBR-LK,3X3,0
18,CSD87588N-NS2,5X2.5,0
19,AC7760IRHAR-CK,6X6,0
20,S65177RHAR1-G2,6X6,0
21,202027CRSLR-G2,6X6,0
22,401032DSGR1-G2,2X2,0
23,PS7A7100RGTT-L,3X3,0
24,62152QRGTRQ1-L,3X3,0
25,001DRBR1-G2QN#,3X3,0
26,S53211ARGTR-LK,3X3,0
27,MC7812SRGCR-CK,9X9,0
28,97376Q4M2-LQN&,4.5X3.5,0
29,D95375Q4M-LQN&,4.5X3.5,0
30,CSD87381P1-NS2,3X2.5,0
31,PS40190DRCR-BY,3X3,0
32,202027ARSLR-G2,6X6,0
33,CD3211A1RGPR-L,4X4,0
34,53219ARGTR-G2K,3X3,0
35,S62736RGYR-G2K,3.5X3.5,0
36,CC28251RGPR-CK,4X4,0
37,S62067DSGR1-G2,2X2,0
38,BQ24311DSGR-G2,2X2,0
39,S54328DRCR-G2Y,3X3,0
40,62407QDRCRQ1-R,3X3,0
41,A2012D2RTJR-RK,4X4,0
42,PS65023RSBR1-R,5X5,0
43,MP513AIRSAR-CK,4X4,0
44,S54335ADRCR-G2,3X3,0
45,202027ERSLR-G2,6X6,0
46,S51363RVER-LNY,4.5X3.5,0
47,PS63031DSKR-CK,2.5X2.5,0
48,204036RHAR1-G2,6X6,0
49,PS53513RVER-LN,4.5X3.5,0
50,PS56121BDQPR-C,6X5,0
51,TPS2557DRBR2-L,3X3,0
52,PS56121DQPR2-C,6X5,0
53,Q24640RVAR-G2K,3.5X3.5,0
54,65633AKRTER-G2,3X3,0
55,A3221AIRGVR-ZK,4X4,0
56,PS53624RHAT-BK,6X6,0
57,S53647RTAR-G2K,6X6,0
58,S54495RSAR1-G2,4X4,0
59,PS61161DRVR-LK,2X2,0
60,54361QDPRRQ1-C,4X4,0
61,BQ29707DSER-G2,1.5X1.5,0
62,PS51518RUKR-LK,3X3,0
63,1312DRCR1-G2KY,3X3,0
64,PS40041DRBT-B,3X3,0
65,PS51117RGYR1-B,3.5X3.5,0
66,53515RVER2-LN#,4.5X3.5,0
67,5633BRTER-KDG2,3X3,0
68,PS62745DSSR-LK,3X2,0
69,D97395Q4M-LNKE,4.5X3.5,0
70,PS53819RGTR-RK,3X3,0
71,S54429ERSAR2-L,4X4,0
72,54328DRCRP-G2Y,3X3,0
73,51315RGFR-LS2Y,7X5,0
74,PS65051RSMR1-R,4X4,0
75,PS54326RGTR-LY,3X3,0
76,S51220ARSNR-LK,4X4,0
77,TPS65198RUYR-G,4X4,0
78,771808DPJR-G2K,3X4,0
79,TPS2557DRBR3-R,3X3,0
80,S53312RGTR-G2Y,3X3,0
81,BQ25892RTWR-G2,4X4,0
82,PS62134DRGTR-L,3X3,0
83,D3211A1RGPR-G2,4X4,0
84,3210A0RGPR1-G2,4X4,0
85,S54319RTER1-G2,3X3,0
86,S62740DSSR1-LK,3X2,0
87,1402065RVER-LN,4.5X3.5,0
88,1306051RHRR-G2,5.5X3.5,0
89,S59641RSLR-G2K,6X6,0
90,65633BKRTER-G2,3X3,0
91,592ALDRCR1-G2K,3X3,0
92,PS53355DQPR-CN,6X5,0
93,S56121ADQPR1-C,6X5,0
94,3315RGFR-G2S2Y,7X5,0
95,5633ARTER-KDG2,3X3,0
96,TPS54519RTER-R,3X3,0
