Machine_Instance_ID,Machine_Family_ID,Machine_Instance_Name,Lot_ID,Lot_Name,Quantity,Lot_Weight,Device ID,Device_Name,Route_ID,Tooling_Family_ID,Tooling_Family_Name,Certification,Value
3,2,CLFTEA11,235,5955578,12377,1684,82,PS62134DRGTR-L,810,403,6575577B,1,1
3,2,CLFTEA11,324,5961942,6896,1495,82,PS62134DRGTR-L,810,403,6575577B,1,1
3,2,CLFTEA11,378,5964269,13799,1438,82,PS62134DRGTR-L,810,403,6575577B,1,1
3,2,CLFTEA11,380,5964268,13805,1438,82,PS62134DRGTR-L,810,403,6575577B,1,1
3,2,CLFTEA11,381,5964271,6867,1438,82,PS62134DRGTR-L,810,403,6575577B,1,1
3,2,CLFTEA11,385,5964270,10088,1438,82,PS62134DRGTR-L,810,403,6575577B,1,1
3,2,CLFTEA11,379,5964273,13800,1438,113,S62134ARGTR1-L,1206,403,6575577B,1,1
3,2,CLFTEA11,384,5964274,13436,1438,113,S62134ARGTR1-L,1206,403,6575577B,1,1
3,2,CLFTEA11,386,5964275,7282,1438,113,S62134ARGTR1-L,1206,403,6575577B,1,1
3,2,CLFTEA11,391,5964952,13739,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,392,5964960,10930,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,394,5964950,13787,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,395,5964959,13796,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,396,5964954,13794,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,397,5964956,13789,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,398,5964957,9981,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,401,5964953,13790,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,402,5964951,13778,1410,114,S62134CRGTR1-L,1210,403,6575577B,1,1
3,2,CLFTEA11,1367,5983284,7802,872,114,S62134CRGTR1-L,1210,403,6575577B,1,1
4,2,CLFTEA12,11,5785851,15108,7058,7,4622RHLR1-LQR#,204,56,6487925B,1,1
4,2,CLFTEA12,1531,5985611,15087,807,209,N1107017RHLR-L,600,56,6487925B,1,1
4,2,CLFTEA12,1541,5985613,15100,807,209,N1107017RHLR-L,600,56,6487925B,1,1
4,2,CLFTEA12,1505,5984726,15032,830,206,PS54320RHLR-G2,740,56,6487925B,1,1
4,2,CLFTEA12,377,5964245,15098,1438,112,PS54821RHLR2-R,767,56,6487925B,1,1
4,2,CLFTEA12,387,5964246,15039,1438,112,PS54821RHLR2-R,767,56,6487925B,1,1
4,2,CLFTEA12,388,5964250,15114,1438,112,PS54821RHLR2-R,767,56,6487925B,1,1
4,2,CLFTEA12,389,5964247,15100,1438,112,PS54821RHLR2-R,767,56,6487925B,1,1
4,2,CLFTEA12,558,5968642,15087,1306,112,PS54821RHLR2-R,767,56,6487925B,1,1
4,2,CLFTEA12,1660,5989369,10195,707,112,PS54821RHLR2-R,767,56,6487925B,1,1
4,2,CLFTEA12,354,5964067,7543,1439,108,S54620RGYR1-G2,1140,56,6487925B,1,1
4,2,CLFTEA12,472,5967123,7535,1343,108,S54620RGYR1-G2,1140,56,6487925B,1,1
4,2,CLFTEA12,1215,5981022,15109,936,185,TPS54622RHLR-L,1379,56,6487925B,1,1
5,3,CLFTEA13,2,5491458,11443,15848,2,4519RTER1-RQR&,185,199,6522803A,1,1
5,3,CLFTEA13,3,5491459,8685,15848,2,4519RTER1-RQR&,185,199,6522803A,1,1
5,3,CLFTEA13,279,5958092,13815,1608,96,TPS54519RTER-R,1365,199,6522803A,1,1
5,3,CLFTEA13,280,5958090,13794,1608,96,TPS54519RTER-R,1365,199,6522803A,1,1
5,3,CLFTEA13,1154,5978782,13645,1006,96,TPS54519RTER-R,1365,199,6522803A,1,1
5,3,CLFTEA13,1155,5978783,13778,1006,96,TPS54519RTER-R,1365,199,6522803A,1,1
6,4,CLFTEA14,315,5963741,7525,1510,101,S51362RVER-LNY,1043,297,6545456B,1,1
6,4,CLFTEA14,628,5973025,7852,1244,46,S51363RVER-LNY,1047,297,6545456B,1,1
6,4,CLFTEA14,873,5976351,7873,1142,46,S51363RVER-LNY,1047,297,6545456B,1,1
6,4,CLFTEA14,600,5971559,6950,1277,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,735,5974929,7436,1176,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,736,5974931,7874,1176,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,738,5974938,7825,1176,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,739,5989225,7801,1176,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,740,5974933,7709,1176,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,741,5974937,7836,1176,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,742,5974930,7742,1176,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,743,5974934,7598,1176,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,972,5978475,7790,1076,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,973,5978466,7417,1076,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,974,5978468,7832,1076,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,975,5978470,7788,1076,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,976,5978476,7651,1076,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,977,5978472,7562,1076,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,978,5978471,7826,1076,133,S51367RVER-LNY,1051,297,6545456B,1,1
6,4,CLFTEA14,1149,5980681,7854,1011,184,S51367RVERP-LN,1055,297,6545456B,1,1
9,7,CLFTEA17,744,5972675,16827,1174,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,746,5972677,8405,1174,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,748,5972674,16741,1174,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,983,5976125,8405,1073,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,984,5976122,16913,1073,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,986,5976128,8461,1073,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,987,5976123,16817,1073,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,989,5976127,16577,1073,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,993,5976124,10962,1073,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,995,5976121,16917,1073,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,996,5976126,16652,1073,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,1386,5983801,16801,861,148,PS63000DRCR-LY,876,11,6469014A,1,1
9,7,CLFTEA17,1389,5983803,16836,861,148,PS63000DRCR-LY,876,11,6469014A,1,1
10,2,CLFTEA18,790,5981589,6853,1155,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1004,5983466,11495,1062,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1077,5984531,13816,1029,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1078,5984529,13815,1029,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1079,5984527,13809,1029,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1080,5984533,13807,1029,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1081,5984530,13817,1029,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1082,5984528,13820,1029,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1083,5984535,6911,1029,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1084,5984532,13817,1029,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1348,5989687,13818,896,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1349,5989683,13814,896,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1350,5989685,13819,896,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1351,5989689,7190,896,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1352,5989682,13816,896,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1353,5989688,13749,896,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1354,5989686,13815,896,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1355,5989684,13812,896,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1378,5990384,13805,868,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1379,5990389,7138,868,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1381,5990388,13741,868,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1385,5990383,13814,868,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1692,5997526,6888,667,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,1694,5997525,9365,667,153,53819ARGTR1-LK,244,273,6542741A,1,1
10,2,CLFTEA18,186,5957068,11382,1906,70,PS53819RGTR-RK,730,273,6542741A,1,1
11,2,CLFTEA19,50,5925308,13461,2563,34,53219ARGTR-G2K,236,172,6518552B,1,1
11,2,CLFTEA19,291,5960389,13661,1540,34,53219ARGTR-G2K,236,172,6518552B,1,1
11,2,CLFTEA19,292,5960398,13799,1540,34,53219ARGTR-G2K,236,172,6518552B,1,1
11,2,CLFTEA19,293,5960399,7734,1540,34,53219ARGTR-G2K,236,172,6518552B,1,1
