Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Device_Name,Tooling_Family_Name,Certification
CLFTEA11,ETS-2-64,5955578,12377,1684,PS62134DRGTR-L,6575577B,1
CLFTEA11,ETS-2-64,5961942,6896,1495,PS62134DRGTR-L,6575577B,1
CLFTEA11,ETS-2-64,5964269,13799,1438,PS62134DRGTR-L,6575577B,1
CLFTEA11,ETS-2-64,5964268,13805,1438,PS62134DRGTR-L,6575577B,1
CLFTEA11,ETS-2-64,5964271,6867,1438,PS62134DRGTR-L,6575577B,1
CLFTEA11,ETS-2-64,5964270,10088,1438,PS62134DRGTR-L,6575577B,1
CLFTEA11,ETS-2-64,5964273,13800,1438,S62134ARGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964274,13436,1438,S62134ARGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964275,7282,1438,S62134ARGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964952,13739,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964960,10930,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964950,13787,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964959,13796,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964954,13794,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964956,13789,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964957,9981,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964953,13790,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5964951,13778,1410,S62134CRGTR1-L,6575577B,1
CLFTEA11,ETS-2-64,5983284,7802,872,S62134CRGTR1-L,6575577B,1
CLFTEA12,ETS-2-64,5785851,15108,7058,4622RHLR1-LQR#,6487925B,1
CLFTEA12,ETS-2-64,5985611,15087,807,N1107017RHLR-L,6487925B,1
CLFTEA12,ETS-2-64,5985613,15100,807,N1107017RHLR-L,6487925B,1
CLFTEA12,ETS-2-64,5984726,15032,830,PS54320RHLR-G2,6487925B,1
CLFTEA12,ETS-2-64,5964245,15098,1438,PS54821RHLR2-R,6487925B,1
CLFTEA12,ETS-2-64,5964246,15039,1438,PS54821RHLR2-R,6487925B,1
CLFTEA12,ETS-2-64,5964250,15114,1438,PS54821RHLR2-R,6487925B,1
CLFTEA12,ETS-2-64,5964247,15100,1438,PS54821RHLR2-R,6487925B,1
CLFTEA12,ETS-2-64,5968642,15087,1306,PS54821RHLR2-R,6487925B,1
CLFTEA12,ETS-2-64,5989369,10195,707,PS54821RHLR2-R,6487925B,1
CLFTEA12,ETS-2-64,5964067,7543,1439,S54620RGYR1-G2,6487925B,1
CLFTEA12,ETS-2-64,5967123,7535,1343,S54620RGYR1-G2,6487925B,1
CLFTEA12,ETS-2-64,5981022,15109,936,TPS54622RHLR-L,6487925B,1
CLFTEA13,ETS-1-64,5491458,11443,15848,4519RTER1-RQR&,6522803A,1
CLFTEA13,ETS-1-64,5491459,8685,15848,4519RTER1-RQR&,6522803A,1
CLFTEA13,ETS-1-64,5958092,13815,1608,TPS54519RTER-R,6522803A,1
CLFTEA13,ETS-1-64,5958090,13794,1608,TPS54519RTER-R,6522803A,1
CLFTEA13,ETS-1-64,5978782,13645,1006,TPS54519RTER-R,6522803A,1
CLFTEA13,ETS-1-64,5978783,13778,1006,TPS54519RTER-R,6522803A,1
CLFTEA14,ETS-2M-64,5963741,7525,1510,S51362RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5973025,7852,1244,S51363RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5976351,7873,1142,S51363RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5971559,6950,1277,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5974929,7436,1176,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5974931,7874,1176,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5974938,7825,1176,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5989225,7801,1176,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5974933,7709,1176,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5974937,7836,1176,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5974930,7742,1176,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5974934,7598,1176,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5978475,7790,1076,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5978466,7417,1076,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5978468,7832,1076,S51367RVER-LNY,6545456B,1
CLFTEA14,ETS-2M-64,5978470,7788,1076,S51367RVER-LNY,6545456B,1
