Machine,Time
CLFTEA11,70.3927
CLFTEA12,71.5443
CLFTEA13,33.774
CLFTEA14,50.2311
CLFTEA17,67.9053
CLFTEA18,71.6782
CLFTEA19,70.5486
CLFTEA2,70.5751
CLFTEA22,11.1009
CLFTEA23,71.2805
CLFTEA24,71.8325
CLFTEA25,71.9114
CLFTEA26,57.6975
CLFTEA27,69.5072
CLFTEA29,50.788
CLFTEA3,70.4908
CLFTEA30,32.5444
CLFTEA31,48.8557
CLFTEA32,55.9229
CLFTEA33,71.788
CLFTEA34,69.0732
CLFTEA35,56.4458
CLFTEA36,71.8264
CLFTEA37,71.9035
CLFTEA38,2.33019
CLFTEA39,28.808
CLFTEA4,71.7258
CLFTEA40,22.5964
CLFTEA41,70.1934
CLFTEA42,68.8377
CLFTEA43,10.3455
CLFTEA44,67.9646
CLFTEA46,55.2887
CLFTEA47,31.9911
CLFTEA48,35.3731
CLFTEA49,71.6231
CLFTEA50,70.6674
CLFTEA51,22.5538
CLFTEA52,71.6034
CLFTEA53,45.5638
CLFTEA54,71.8871
CLFTEA57,59.1966
CLFTEA58,68.0879
CLFTEA59,71.6233
CLFTEA6,63.6724
CLFTEA60,40.2479
CLFTEA61,65.2675
CLFTEA62,11.9181
CLFTEA63,70.0787
CLFTEA64,71.0505
CLFTEA65,13.9104
CLFTEA66,70.3318
CLFTEA67,54.4007
CLFTEA68,17.3578
CLFTEA69,71.5094
CLFTEA7,68.4129
CLFTEA70,12.9258
CLFTEA71,4.39526
CLFTEA72,70.5452
CLFTEA73,59.0454
CLFTEA74,34.5973
CLFTEA75,60.1977
CLFTEA76,39.4907
CLFTEA77,67.3675
CLFTEA78,43.3826
CLFTEA79,28.0002
CLFTEA81,69.9841
CLFTEA83,70.6742
CLFTEA84,26.1542
CLFTEA85,61.7269
CLFTEA86,25.2122
CLFTEA87,71.1949
CLFTEA88,69.9285
CLFTEA89,71.082
CLFTEA9,40.9094
CLFTEA90,71.9451
CLFTEA91,69.5042
CLFTEA92,71.9804
CLFTEA95,71.1031
CLFTEA97,19.8545
CLFTEA98,27.8385
CLFTEA99,40.5084
