Device,Target amount,Finished amount,Shortage
S544B20RVFT-LN,2686,0,2686
S65175ARSHR-UN,7028,0,7028
Q25890HRTWR-G2,40197,0,40197
S65175RSHR2-UN,56928,0,56928
PS63031DSKR-CK,600855,17887,582968
PS63030DSKR-CK,136658,0,136658
PS63000DRCR-LY,167963,221141,-53178
S53353DQPR2-CN,56923,115941,-59018
PS53318DQPR-LN,104365,77,104288
PS7A4700RGWR-R,45010,0,45010
304056RSBR-G2K,34676,0,34676
S54335ADRCR-G2,491740,36485,455255
S53211ARGTR-LK,134552,64690,69862
603V1RUNR-G2N#,124979,0,124979
PS65132WRVCR-R,6889,0,6889
