Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5894152,090QRGTRQ12-G2,N,N,N,7975,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5826245,S61087DRCR-G2Y,N,N,N,16144,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5894399,S65177RHAR1-G2,N,N,N,4199,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5917464,MC7812SRGCR-CK,N,N,N,2398,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5921940,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928921,S65177RHAR1-G2,N,N,N,5166,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928929,S65177RHAR1-G2,N,N,N,2589,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928916,S65177RHAR1-G2,N,N,N,5182,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928915,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928923,S65177RHAR1-G2,N,N,N,5107,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928900,S65177RHAR1-G2,N,N,N,5181,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928918,S65177RHAR1-G2,N,N,N,4461,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928919,S65177RHAR1-G2,N,N,N,2586,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928898,S65177RHAR1-G2,N,N,N,5164,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928927,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928920,S65177RHAR1-G2,N,N,N,5174,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928902,S65177RHAR1-G2,N,N,N,5177,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928922,S65177RHAR1-G2,N,N,N,5180,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928925,S65177RHAR1-G2,N,N,N,4637,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928928,S65177RHAR1-G2,N,N,N,4449,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928926,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5928901,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5939285,62407QDRCRQ1-R,N,N,N,7389,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5939287,62407QDRCRQ1-R,N,N,N,6833,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932627,S65177RHAR1-G2,N,N,N,5182,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932626,S65177RHAR1-G2,N,N,N,5170,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932630,S65177RHAR1-G2,N,N,N,5159,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932632,S65177RHAR1-G2,N,N,N,5174,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932629,S65177RHAR1-G2,N,N,N,5177,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932625,S65177RHAR1-G2,N,N,N,5173,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932634,S65177RHAR1-G2,N,N,N,2585,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932628,S65177RHAR1-G2,N,N,N,5171,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5932633,S65177RHAR1-G2,N,N,N,4420,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
