Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Completion_Time
CLFTEA73,ETS-2-64,5926389,10813,2903,Y,CSD87381P1-NS2,,,10/28/2015 02:06:00,10/28/2015 13:44:45
CLFTEA79,ETS-2-64,5953400,13811,2006,Y,1312DRCR1-G2KY,,,10/28/2015 02:06:00,10/28/2015 15:05:12
CLFTEA46,ETM-4-64,5971853,24704,1444,Y,TPS2553DRVR-L,,,10/28/2015 02:06:00,10/28/2015 13:39:00
CLFTEA32,ETS-2-128,5971867,8801,1444,Y,S62740DSSR1-LK,,,10/28/2015 02:06:00,10/28/2015 13:33:02
CLFTEA39,ETS-2-64,5964081,10049,1439,Y,SN2850RUYR-G2K,,,10/28/2015 02:06:00,10/28/2015 16:35:10
CLFTEA65,ETS-2-64,5963975,13812,1439,Y,65633BKRTER-G2,,,10/28/2015 02:06:00,10/28/2015 17:31:18
CLFTEA47,ETS-2-64,5964008,9911,1439,Y,Q24780RUYR-G2K,,,10/28/2015 02:06:00,10/28/2015 16:12:05
CLFTEA35,ETS-2M-64,5963971,13809,1439,Y,65633BKRTER-G2,,,10/28/2015 02:06:00,10/28/2015 17:13:14
CLFTEA30,ETS-2-64,5964272,13803,1438,Y,S62134ARGTR1-L,,,10/28/2015 02:06:00,10/28/2015 16:48:19
CLFTEA38,ETS-2-64,5966079,8682,1388,Y,BQ24193RGER-RY,,,10/28/2015 02:06:00,10/28/2015 15:41:25
CLFTEA13,ETS-1-64,5970713,13730,1238,Y,A8001DRBR2-G2K,,,10/28/2015 02:06:00,10/28/2015 18:07:30
CLFTEA26,ETS-2-64,5980209,15896,1192,Y,771808DPJR-G2K,,,10/28/2015 02:06:00,10/28/2015 14:56:21
CLFTEA51,ETS-2-64,5973005,6472,1178,Y,BQ24133RGYR-G2,,,10/28/2015 02:06:00,10/28/2015 15:29:04
CLFTEA62,ETS-2-128,5966054,11998,1133,Y,212006RGRR-G2$,,,10/28/2015 02:06:00,10/28/2015 15:54:14
CLFTEA60,ETS-2-64,5976274,7708,1125,Y,D97374Q4M-LNKE,,,10/28/2015 02:06:00,10/28/2015 14:14:18
CLFTEA22,ETS-0-64,5983819,13797,854,Y,CC24610DRBR-GK,,,10/28/2015 02:06:00,10/28/2015 16:07:15
CLFTEA29,ETS-2-64,5984564,9758,845,Y,BQ24196RGER-RY,,,10/28/2015 02:06:00,10/28/2015 16:13:03
CLFTEA43,ETS-2-64,5984404,7910,839,Y,51980RTVR1-G2K,,,10/28/2015 02:06:00,10/28/2015 18:53:27
CLFTEA68,ETS-2-64,5985814,7983,802,Y,A6130A2RTJR-LK,,,10/28/2015 02:06:00,10/28/2015 16:40:04
CLFTEA48,ETS-2M-64,5988478,9978,741,Y,406035RGER-G2Y,,,10/28/2015 02:06:00,10/28/2015 18:01:38
CLFTEA71,ETS-1M-64,5989398,15070,706,Y,TPS54622RHLR-L,,,10/28/2015 02:06:00,10/28/2015 19:09:21
CLFTEA31,ETS-2-64,5944369,13795,691,Y,PS51311RGTR1-L,,,10/28/2015 02:06:00,10/28/2015 16:24:36
CLFTEA11,ETS-2-64,5955578,12377,1684,N,PS62134DRGTR-L,6575577B,1,10/28/2015 02:06:00,10/28/2015 06:00:06
CLFTEA11,ETS-2-64,5961942,6896,1495,N,PS62134DRGTR-L,6575577B,1,10/28/2015 02:06:00,10/28/2015 08:14:57
CLFTEA11,ETS-2-64,5964269,13799,1438,N,PS62134DRGTR-L,6575577B,1,10/28/2015 02:06:00,10/28/2015 12:34:49
CLFTEA11,ETS-2-64,5964268,13805,1438,N,PS62134DRGTR-L,6575577B,1,10/28/2015 02:06:00,10/28/2015 16:54:48
CLFTEA11,ETS-2-64,5964271,6867,1438,N,PS62134DRGTR-L,6575577B,1,10/28/2015 02:06:00,10/28/2015 19:09:07
CLFTEA11,ETS-2-64,5964270,10088,1438,N,PS62134DRGTR-L,6575577B,1,10/28/2015 02:06:00,10/28/2015 22:21:47
CLFTEA11,ETS-2-64,5964273,13800,1438,N,S62134ARGTR1-L,6575577B,1,10/28/2015 02:06:00,10/29/2015 02:36:04
CLFTEA11,ETS-2-64,5964274,13436,1438,N,S62134ARGTR1-L,6575577B,1,10/28/2015 02:06:00,10/29/2015 06:43:54
CLFTEA11,ETS-2-64,5964275,7282,1438,N,S62134ARGTR1-L,6575577B,1,10/28/2015 02:06:00,10/29/2015 09:02:47
CLFTEA11,ETS-2-64,5964952,13739,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/29/2015 13:21:33
CLFTEA11,ETS-2-64,5964960,10930,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/29/2015 16:49:28
CLFTEA11,ETS-2-64,5964950,13787,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/29/2015 21:09:07
CLFTEA11,ETS-2-64,5964959,13796,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/30/2015 01:28:56
CLFTEA11,ETS-2-64,5964954,13794,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/30/2015 05:48:42
CLFTEA11,ETS-2-64,5964956,13789,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/30/2015 10:08:23
CLFTEA11,ETS-2-64,5964957,9981,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/30/2015 13:19:06
CLFTEA11,ETS-2-64,5964953,13790,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/30/2015 17:38:49
CLFTEA11,ETS-2-64,5964951,13778,1410,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,10/30/2015 21:58:18
CLFTEA11,ETS-2-64,5983284,7802,872,N,S62134CRGTR1-L,6575577B,1,10/28/2015 02:06:00,11/01/2015 00:29:33
CLFTEA12,ETS-2-64,5785851,15108,7058,N,4622RHLR1-LQR#,6487925B,1,10/28/2015 02:06:00,10/28/2015 08:46:20
CLFTEA12,ETS-2-64,5985611,15087,807,N,N1107017RHLR-L,6487925B,1,10/28/2015 02:06:00,10/28/2015 14:02:38
CLFTEA12,ETS-2-64,5985613,15100,807,N,N1107017RHLR-L,6487925B,1,10/28/2015 02:06:00,10/28/2015 19:19:12
