Machine,Time
CLFTEA1,N/A
CLFTEA10,N/A
CLFTEA11,70.3927
CLFTEA12,71.5443
CLFTEA13,67.5251
CLFTEA14,70.9718
CLFTEA15,N/A
CLFTEA16,N/A
CLFTEA17,67.9053
CLFTEA18,71.6782
CLFTEA19,70.5486
CLFTEA2,70.5751
CLFTEA20,N/A
CLFTEA21,0
CLFTEA22,69.2437
CLFTEA23,71.2805
CLFTEA24,71.8325
CLFTEA25,71.9114
CLFTEA26,70.5367
CLFTEA27,69.5072
CLFTEA28,N/A
CLFTEA29,71.3343
CLFTEA3,70.4908
CLFTEA30,71.3214
CLFTEA31,70.7647
CLFTEA32,69.9747
CLFTEA33,71.788
CLFTEA34,69.0732
CLFTEA35,71.5666
CLFTEA36,71.8264
CLFTEA37,71.9035
CLFTEA38,71.3072
CLFTEA39,71.9334
CLFTEA4,71.7258
CLFTEA40,34.5582
CLFTEA41,70.1934
CLFTEA42,68.8377
CLFTEA43,70.0671
CLFTEA44,71.0498
CLFTEA45,N/A
CLFTEA46,66.8389
CLFTEA47,70.4742
CLFTEA48,69.2316
CLFTEA49,71.6231
CLFTEA5,N/A
CLFTEA50,70.6674
CLFTEA51,69.8
CLFTEA52,71.6034
CLFTEA53,71.7784
CLFTEA54,71.8871
CLFTEA55,0
CLFTEA56,N/A
CLFTEA57,69.7767
CLFTEA58,71.8478
CLFTEA59,71.6233
CLFTEA6,69.7738
CLFTEA60,71.5221
CLFTEA61,71.6988
CLFTEA62,71.666
CLFTEA63,70.0787
CLFTEA64,71.0505
CLFTEA65,70.6975
CLFTEA66,70.3318
CLFTEA67,69.4173
CLFTEA68,69.228
CLFTEA69,71.5094
CLFTEA7,71.8544
CLFTEA70,71.1273
CLFTEA71,66.4224
CLFTEA72,70.5452
CLFTEA73,70.6915
CLFTEA74,71.706
CLFTEA75,70.8554
CLFTEA76,71.104
CLFTEA77,71.6804
CLFTEA78,69.4143
CLFTEA79,70.8166
CLFTEA8,N/A
CLFTEA80,N/A
CLFTEA81,69.9841
CLFTEA82,N/A
CLFTEA83,70.6742
CLFTEA84,69.9467
CLFTEA85,71.6879
CLFTEA86,69.676
CLFTEA87,71.1949
CLFTEA88,69.9285
CLFTEA89,71.082
CLFTEA9,71.023
CLFTEA90,71.9451
CLFTEA91,69.5042
CLFTEA92,71.9804
CLFTEA93,0
CLFTEA94,0
CLFTEA95,71.1031
CLFTEA97,33.3343
CLFTEA98,40.2197
CLFTEA99,71.8939
