TOOLING_FAMILY,SETUP_TIME
6457090B,0
6457212A,0
6460534B,0
6461377C,0
6462365C,0
6462654A,0
6463634E,0
6467193D,0
6467722A,0
6468723B,0
6469014A,0
6470284A,0
6471369E,0
6471834C,0
6471907A,0
6472365B,0
6473092A,0
6473092B,0
6474104A,0
6474275A,0
6476723H,0
6476723J,0
6477171B,0
6477295A,0
6477301A,0
6477473C,0
6478192B,0
6478393B,0
6478663D,0
6478663E,0
6479465A,0
6479550B,0
6479677A,0
6480208A,0
6480208B,0
6481271A,0
6481275B,0
6481281D,0
6481533C,0
6481759C,0
6481937B,0
6483077B,0
6483270B,0
6483951C,0
6484062B,0
6484140A,0
6484527A,0
6484801B,0
6484809C,0
6484965B,0
6485209A,0
6486103B,0
6486108C,0
6486142B,0
6487839B,0
6487925B,0
6488445B,0
6489159B,0
6489448B,0
6489844B,0
6489852A,0
6489924A,0
6490281B,0
6490697A,0
6490996A,0
6490997A,0
6491333A,0
6491839B,0
6492142D,0
6492420C,0
6493388A,0
6493741A,0
6493741B,0
6493742A,0
6494457A,0
6494476A,0
6494649B,0
6494708A,0
6494789A,0
6495717A,0
6496545A,0
6496992A,0
6497119C,0
6497193A,0
6498316A,0
6499098B,0
6499432B,0
6499805A,0
6499941A,0
6500265B,0
6500443A,0
6501153B,0
6501607B,0
6501996B,0
6503016A,0
6503018A,0
6503050A,0
6504079A,0
6504342B,0
6505391C,0
6505620C,0
6505623B,0
6505702A,0
6505771B,0
6506362A,0
6506365A,0
6506370A,0
6506727A,0
6506939A,0
6506957B,0
6507169A,0
6507988A,0
6508014B,0
6508455A,0
6508600B,0
6509477B,0
6509642B,0
6509642C,0
6509649B,0
6509808B,0
6510064A,0
6510147A,0
6510240A,0
6510459B,0
6510609C,0
6510609D,0
6510609E,0
6510697B,0
6511094C,0
6511607A,0
6511837A,0
6511837B,0
6512302B,0
6512469B,0
6512615B,0
6512615C,0
6512615D,0
6513476A,0
6513476C,0
6513884B,0
6513990A,0
6513992A,0
6513992B,0
6514494A,0
6514494B,0
6514558A,0
6514558B,0
6514600A,0
6514765A,0
6515389A,0
6515499B,0
6515575A,0
6515577B,0
