id=1,name=CLFTEA1
id=2,name=CLFTEA10
id=3,name=CLFTEA11
id=4,name=CLFTEA12
id=5,name=CLFTEA13
id=6,name=CLFTEA14
id=7,name=CLFTEA15
id=8,name=CLFTEA16
id=9,name=CLFTEA17
id=10,name=CLFTEA18
id=11,name=CLFTEA19
id=12,name=CLFTEA2
id=13,name=CLFTEA20
id=14,name=CLFTEA21
id=15,name=CLFTEA22
id=16,name=CLFTEA23
id=17,name=CLFTEA24
id=18,name=CLFTEA25
id=19,name=CLFTEA26
id=20,name=CLFTEA27
id=21,name=CLFTEA28
id=22,name=CLFTEA29
id=23,name=CLFTEA3
id=24,name=CLFTEA30
id=25,name=CLFTEA31
id=26,name=CLFTEA32
id=27,name=CLFTEA33
id=28,name=CLFTEA34
id=29,name=CLFTEA35
id=30,name=CLFTEA36
id=31,name=CLFTEA37
id=32,name=CLFTEA38
id=33,name=CLFTEA39
id=34,name=CLFTEA4
id=35,name=CLFTEA40
id=36,name=CLFTEA41
id=37,name=CLFTEA42
id=38,name=CLFTEA43
id=39,name=CLFTEA44
id=40,name=CLFTEA45
id=41,name=CLFTEA46
id=42,name=CLFTEA47
id=43,name=CLFTEA48
id=44,name=CLFTEA49
id=45,name=CLFTEA5
id=46,name=CLFTEA50
id=47,name=CLFTEA51
id=48,name=CLFTEA52
id=49,name=CLFTEA53
id=50,name=CLFTEA54
id=51,name=CLFTEA55
id=52,name=CLFTEA56
id=53,name=CLFTEA57
id=54,name=CLFTEA58
id=55,name=CLFTEA59
id=56,name=CLFTEA6
id=57,name=CLFTEA60
id=58,name=CLFTEA61
id=59,name=CLFTEA62
id=60,name=CLFTEA63
id=61,name=CLFTEA64
id=62,name=CLFTEA65
id=63,name=CLFTEA66
id=64,name=CLFTEA67
id=65,name=CLFTEA68
id=66,name=CLFTEA69
id=67,name=CLFTEA7
id=68,name=CLFTEA70
id=69,name=CLFTEA71
id=70,name=CLFTEA72
id=71,name=CLFTEA73
id=72,name=CLFTEA74
id=73,name=CLFTEA75
id=74,name=CLFTEA76
id=75,name=CLFTEA77
id=76,name=CLFTEA78
id=77,name=CLFTEA79
id=78,name=CLFTEA8
id=79,name=CLFTEA80
id=80,name=CLFTEA81
id=81,name=CLFTEA82
id=82,name=CLFTEA83
id=83,name=CLFTEA84
id=84,name=CLFTEA85
id=85,name=CLFTEA86
id=86,name=CLFTEA87
id=87,name=CLFTEA88
id=88,name=CLFTEA89
id=89,name=CLFTEA9
id=90,name=CLFTEA90
id=91,name=CLFTEA91
id=92,name=CLFTEA92
id=93,name=CLFTEA93
id=94,name=CLFTEA94
id=95,name=CLFTEA95
id=96,name=CLFTEA97
id=97,name=CLFTEA98
id=98,name=CLFTEA99
