ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,,ETS-0-64:6512302B,2419,ETS-0-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-1-64:6512302B,2419,ETS-1-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-2-64:6512302B,2419,ETS-2-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-1M-64:6512302B,2419,ETS-1M-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-2M-64:6512302B,2419,ETS-2M-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-2-128:6512302B,2419,ETS-2-128,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-4M-128:6512302B,2419,ETS-4M-128,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-S-64:6512302B,2419,ETS-S-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-2Q-64:6512302B,2419,ETS-2Q-64,6512302B,1,1
QFN8BSCURE,4410,1,FT1,,03V1RUNR1-G2N#,2X2,RUNST300,,ETS-2-64:6528944B,8506,ETS-2-64,6528944B,1,1
QFN8BSCURE,4410,1,FT1,,03V1RUNR1-G2N#,2X2,RUNST300,alt,ETS-2M-64:6528944B,8506,ETS-2M-64,6528944B,1,1
QFN8BSCURE,4410,1,FT1,,03V1RUNR1-G2N#,2X2,RUNST300,alt,ETS-2-128:6528944B,8506,ETS-2-128,6528944B,1,1
QFN8BSCURE,4410,1,FT1,,03V1RUNR1-G2N#,2X2,RUNST300,alt,ETS-4M-128:6528944B,8506,ETS-4M-128,6528944B,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,,ETS-2-64:6527607B,1250,ETS-2-64,6527607B,1,2
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,,ETS-2-64:6527607B,1250,ETS-2-64,6527607B,1,3
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2M-64:6527607B,1250,ETS-2M-64,6527607B,1,3
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2M-64:6527607B,1250,ETS-2M-64,6527607B,1,2
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2-128:6527607B,1250,ETS-2-128,6527607B,1,3
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2-128:6527607B,1250,ETS-2-128,6527607B,1,2
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-4M-128:6527607B,1250,ETS-4M-128,6527607B,1,2
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-4M-128:6527607B,1250,ETS-4M-128,6527607B,1,3
AQFN7RFFT0,4420,1,FT2,,090QRGTRQ12-G2,3X3,RGT300,,ETS-2-64:6527607B,1250,ETS-2-64,6527607B,1,3
AQFN7RFFT0,4420,1,FT2,,090QRGTRQ12-G2,3X3,RGT300,,ETS-2-64:6527607B,1250,ETS-2-64,6527607B,1,2
AQFN7RFFT0,4420,1,FT2,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2M-64:6527607B,1250,ETS-2M-64,6527607B,1,3
AQFN7RFFT0,4420,1,FT2,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2M-64:6527607B,1250,ETS-2M-64,6527607B,1,2
