Machine_Family,Machine_Instance,Machine_Family_Name,Initial_Tool_Family,Initial_Certification
ETM-5-128           ,CLFTEA54   ,ETM-5-128           ,6579768C,1
ETS-2-64            ,CLFTEA59   ,ETS-2-64            ,6528917B,1
ETS-2-64            ,CLFTEA77   ,ETS-2-64            ,6520959B,1
ETS-2-64            ,CLFTEA67   ,ETS-2-64            ,6524040A,1
ETM-5-128           ,CLFTEA92   ,ETM-5-128           ,6579768C,1
ETS-2-64            ,CLFTEA42   ,ETS-2-64            ,6555639A,2
ETS-2-64            ,CLFTEA83   ,ETS-2-64            ,6492420C,1
ETM-5-128           ,CLFTEA52   ,ETM-5-128           ,6579768C,1
ETS-2-64            ,CLFTEA51   ,ETS-2-64            ,6570740A,1
ETS-2-64            ,CLFTEA63   ,ETS-2-64            ,6543758C,1
ETS-2-64            ,CLFTEA31   ,ETS-2-64            ,6569306A,1
ETS-2-64            ,CLFTEA69   ,ETS-2-64            ,6514494A,1
ETS-2-64            ,CLFTEA41   ,ETS-2-64            ,6493741B,1
ETS-2-64            ,CLFTEA64   ,ETS-2-64            ,6513992A,1
ETS-2-64            ,CLFTEA79   ,ETS-2-64            ,6556617A,1
ETS-2-64            ,CLFTEA76   ,ETS-2-64            ,6516230D,1
ETS-2-64            ,CLFTEA50   ,ETS-2-64            ,6516230D,1
ETS-2-64            ,CLFTEA72   ,ETS-2-64            ,6529253A,1
ETS-2-64            ,CLFTEA68   ,ETS-2-64            ,6571495A,1
ETS-2-64            ,CLFTEA75   ,ETS-2-64            ,6571495A,1
ETS-2-64            ,CLFTEA33   ,ETS-2-64            ,6571495A,1
ETS-2-64            ,CLFTEA84   ,ETS-2-64            ,6571495A,1
ETS-2-64            ,CLFTEA30   ,ETS-2-64            ,6522212C,1
ETS-0-64            ,CLFTEA22   ,ETS-0-64            ,6522803A,1
ETS-2-64            ,CLFTEA61   ,ETS-2-64            ,6512615D,1
ETS-2-64            ,CLFTEA14   ,ETS-2-64            ,6512615D,1
ETS-0-64            ,CLFTEA17   ,ETS-0-64            ,6487925B,1
ETS-2-64            ,CLFTEA74   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA34   ,ETS-2-64            ,6525585A,1
ETS-2-128           ,CLFTEA37   ,ETS-2-128           ,6575577B,1
ETS-2-64            ,CLFTEA47   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA73   ,ETS-2-64            ,6552808A,1
ETS-2-64            ,CLFTEA12   ,ETS-2-64            ,6545456B,1
ETS-2-64            ,CLFTEA18   ,ETS-2-64            ,6471369E,1
ETS-2-64            ,CLFTEA81   ,ETS-2-64            ,6471369E,1
ETS-2-128           ,CLFTEA58   ,ETS-2-128           ,6569306A,1
ETS-2-128           ,CLFTEA32   ,ETS-2-128           ,6530035A,1
ETS-2-64            ,CLFTEA48   ,ETS-2-64            ,6471369E,1
ETS-2-64            ,CLFTEA25   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA29   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA38   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA45   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA11   ,ETS-2-64            ,6525585A,1
ETS-1-64            ,CLFTEA13   ,ETS-1-64            ,6512302B,1
ETS-2-64            ,CLFTEA27   ,ETS-2-64            ,6512302B,1
