LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5827984,090QRGTRQ12-G2,3X3           ,RGT300       ,10676,3402.00,5827984,4420,1,        17.76,      18.49,      35.3,,10/09/2015 02:06:09,
5827985,090QRGTRQ12-G2,3X3           ,RGT300       ,6605,3402.00,5827985,4420,1,        17.76,      18.49,      35.3,,10/09/2015 02:06:09,
5827983,090QRGTRQ12-G2,3X3           ,RGT300       ,13135,3402.00,5827983,4420,1,        17.76,      18.49,      35.3,,10/09/2015 02:06:09,
5894150,090QRGTRQ12-G2,3X3           ,RGT300       ,13665,1511.00,5894150,4420,1,        19.01,      18.49,     15.14,,10/09/2015 02:06:09,
5894151,090QRGTRQ12-G2,3X3           ,RGT300       ,13566,1511.00,5894151,4420,1,        19.01,      18.49,     15.14,,10/09/2015 02:06:09,
5491459,4519RTER1-RQR&,3X3           ,RTEST        ,8685,13856.00,5491459,4410,1,        15.98,      13.06,    136.19,,10/09/2015 02:06:09,
5491458,4519RTER1-RQR&,3X3           ,RTEST        ,11443,13856.00,5491458,4410,1,        15.98,      13.06,    136.19,,10/09/2015 02:06:09,
5672538,PS65168RSBR1-R,5X5           ,RSB          ,7704,8599.00,5672538,4410,1,        14.78,      12.39,     84.15,,10/09/2015 02:06:09,
5685945,44C20RVFT1-LN#,7X5           ,RVFCLIP      ,3521,8359.00,5685945,4410,1,        17.65,      12.88,     79.37,,10/09/2015 02:06:09,
5685943,44C20RVFT1-LN#,7X5           ,RVFCLIP      ,3563,8359.00,5685943,4410,1,        17.65,      12.88,     79.37,,10/09/2015 02:06:09,
5719314,BQ24196RGER-RY,4X4           ,RGELLF       ,7088,7157.00,5719314,4410,1,        15.59,      12.26,     68.79,,10/09/2015 02:06:09,
5717215,PS61088RHLR-G2,4.5X3.5       ,RHL300ST     ,7918,7133.00,5717215,4410,1,        15.41,      13.03,     69.49,,10/09/2015 02:06:09,
5761802,PS56121BDQPR-C,6X5           ,DQPCLIP      ,5904,7126.00,5761802,4410,1,        19.86,       15.5,     67.44,,10/09/2015 02:06:09,
5727250,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,3464,7077.00,5727250,4410,1,        17.93,      12.88,     66.27,,10/09/2015 02:06:09,
5727251,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,3461,7077.00,5727251,4410,1,        17.93,      12.88,     66.27,,10/09/2015 02:06:09,
5727254,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,3315,7077.00,5727254,4410,1,        17.93,      12.88,     66.27,,10/09/2015 02:06:09,
5727255,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,3554,7077.00,5727255,4410,1,        17.93,      12.88,     66.27,,10/09/2015 02:06:09,
5727253,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,3542,7077.00,5727253,4410,1,        17.93,      12.88,     66.27,,10/09/2015 02:06:09,
5751907,Q24707ARGRR-LK,3.5X3.5       ,RGR          ,8872,6032.00,5751907,4410,1,        14.45,      12.39,     58.81,,10/09/2015 02:06:09,
5754016,Q24707ARGRR-LK,3.5X3.5       ,RGR          ,15041,5967.00,5754016,4410,1,        14.45,      12.39,     58.16,,10/09/2015 02:06:09,
5754018,Q24707ARGRR-LK,3.5X3.5       ,RGR          ,9774,5967.00,5754018,4410,1,        14.45,      12.39,     58.16,,10/09/2015 02:06:09,
5769741,603V1RUNR-G2N#,2X2           ,RUNST300     ,24460,5627.00,5769741,4410,1,        17.76,       14.1,     53.16,,10/09/2015 02:06:09,
5788963,62407QDRCRQ1-R,3X3           ,DRCVTT       ,6721,5175.00,5788963,4410,1,        21.37,      16.17,      47.1,10/08/2015 10:24:02,10/09/2015 02:06:09,CLFTEA3
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,15108,5066.00,5785851,4410,1,        16.19,      13.06,     48.08,,10/09/2015 02:06:09,
5796993,603V1RUNR-G2N#,2X2           ,RUNST300     ,24648,4735.00,5796993,4410,1,        17.25,       14.1,     44.75,10/09/2015 12:12:29,10/09/2015 02:06:09,CLFTEA89
5796242,Q25895MRTWR-G2,4X4           ,RTWST300     ,5037,4605.00,5796242,4410,1,         14.7,      13.06,     44.96,,10/09/2015 02:06:09,
5803084,S62736RGYR-G2K,3.5X3.5       ,RGY300       ,14905,4306.00,5803084,4410,1,        12.94,      12.34,     43.01,,10/09/2015 02:06:09,
5803078,S62736RGYR-G2K,3.5X3.5       ,RGY300       ,7512,4306.00,5803078,4410,1,        12.94,      12.34,     43.01,,10/09/2015 02:06:09,
5814301,62407QDRCRQ1-R,3X3           ,DRCVTT       ,6774,4252.00,5814301,4410,1,         19.7,      16.17,     39.53,,10/09/2015 02:06:09,
5802631,CSD87381P1-NS2,3X2.5         ,MPCMCMST     ,13435,4219.00,5802631,4410,1,        14.18,      14.57,     43.13,,10/09/2015 02:06:09,
5809978,BQ25892RTWR-G2,4X4           ,RTWST300     ,8719,4213.00,5809978,4410,1,         14.7,      13.06,     41.04,10/08/2015 11:16:40,10/09/2015 02:06:09,CLFTEA54
