"loadboard","device_item_id","pin","temperature","tester_config","tester","tester_id","package"
"6481937B","","","25","ETS-S-64","TT5515","15","RGE"
"6522503A","","","25","ETS-2M-64","TT5539","39","RVF"
"6515575A","","","25","ETS-2-64","TT5560","60","RHL"
"","","","25","ETM-5-128","TT5589","89","RUN"
"6471907A","62407QDRCRQ1-R","10","12","ETS-0-64","TT5503","03","DRC"
"6579768C","BQ25892RTWR-G2","24","25","ETM-5-128","TT5554","54","RTW"
"6528917B","44C20RVFR-LQN#","40","25","ETS-2-64","TT5559","59","RVF"
"","3515RVER1-LQN#","28","25","ETS-2Q-64","TT5556","56","RVE"
"6525239A","55340QRTERQ1-L","16","25","ETS-INAM-64","TT5516","16","RTE"
"6513990A","MP512AIRSAR-CK","16","50","ETS-1M-64","TT5571","71","RSA"
"6520959B","S51463RGER2-G2","24","25","ETS-2-64","TT5577","77","RGE"
"6473092B","29209TDRBRQ1-B","8","25","ETM-4-64","TT5587","87","DRB"
"6525600B","1108026RHDR1-R","28","85","ETS-2-128","TT5562","62","RHD"
"6524040A","2543QRTERQ1-G2","16","25","ETS-2-64","TT5567","67","RTE"
"6519267C","FE030AIRGZR-CK","48","25","ETS-2-64","TT5557","57","RGZ"
"6567540A","54361QDPRRQ1-C","10","25","ETS-2-64","TT5544","44","DPR"
"6553821A","D95379Q3M-LNKY","10","25","ETS-2-64","TT5506","06","RHL"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-128","TT5507","07","RTQ"
"6570166B","PS40041DRBR-B","8","25","ETM-5-128","TT5553","53","RSL"
"6492420C","PS55010RTER1-L","16","25","ETS-INAM-64","TT5510","10","RTE"
"","CSD17576Q5B1-N","8","25","ETS-200FT","TT5594","94","DNK"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-64","TT5585","85","RTQ"
"6570729C","TPS2388RTQR-C","56","25","ETS-2-64","TT5523","23","RTQ"
"6555639A","1306051RHRR-G2","28","85","ETS-2-64","TT5542","42","RHR"
"","S40100RGER1-BY","24","25","ETS-1M-64","TT5504","04","DRB"
"6579768C","BQ25890RTWR-G2","24","25","ETM-5-128","TT5592","92","RTW"
"6492420C","PS54218RTER3-C","16","25","ETS-2-64","TT5583","83","RTE"
"6570740A","CSD59968Q5M-LN","12","25","ETS-2-64","TT5551","51","DQP"
"6526024A","S65177RHAR1-G2","40","90","ETS-2-64","TT5536","36","RHA"
"6579768C","BQ25890RTWR-G2","24","25","ETM-5-128","TT5552","52","RTW"
"6518233A","PS65023RSBR1-R","40","85","ETS-INA-64","TT5521","21","RSB"
"6543758C","PS53515RVER-LN","28","25","ETS-2-64","TT5563","63","RVE"
"6569306A","65633AKRTER-G2","16","25","ETS-2-64","TT5531","31","RTE"
"6569544C","S53661RSBR-G2K","40","25","ETS-2-64","TT5588","88","RSB"
"6526546B","PS65197BRUYR-G","28","85","ETS-0-64","TT5509","09","RUY"
"6525600B","1108026RHDR1-R","28","85","ETS-2-64","TT5543","43","RHD"
"6514494A","PS56121DQPR2-C","22","25","ETS-2-64","TT5569","69","DQP"
"6493741B","S51200DRCR-G2Y","10","25","ETS-2-64","TT5541","41","DRC"
"6541533C","51631ARSMR-G2K","32","25","ETS-2-64","TT5580","80","RSM"
"6513992A","LV62130RGTR-LY","16","25","ETS-2-64","TT5564","64","RGT"
"6578688B","D97374Q4M-LNKE","8","25","ETS-2-64","TT5566","66","DPC"
"6527607B","V62090RGTR1-G2","16","85","ETS-2M-64","TT5535","35","RGT"
"6529253A","PS54678RTER-G2","16","25","ETS-2-64","TT5572","72","RTE"
"6570316D","PS74801DRCR1-B","10","25","ETS-2-64","TT5570","70","DSQ"
"6571495A","BQ24770RUYR-G2","28","25","ETS-2-64","TT5533","33","RUY"
"6571495A","BQ24770RUYR-G2","28","25","ETS-2-64","TT5575","75","RUY"
"6571495A","BQ24770RUYR-G2","28","25","ETS-2-64","TT5568","68","RUY"
"6571495A","BQ24770RUYR-G2","28","25","ETS-2-64","TT5584","84","RUY"
"6512302B","A8001DRBR2-G2K","8","25","ETS-1-64","TT5513","13","DRB"
"6512302B","A8001DRBR2-G2K","8","25","ETS-2-64","TT5527","27","DRB"
"6522212C","N1006030RTER-C","16","25","ETS-2-64","TT5530","30","RTE"
"6522803A","TPS54519RTER-R","16","25","ETS-0-64","TT5522","22","RTE"
"6516230D","S51200DRCR-G2Y","10","25","ETS-2-64","TT5550","50","DRC"
"6516230D","S51200DRCR-G2Y","10","25","ETS-2-64","TT5576","76","DRC"
"6487839B","51980ARTVR-G2K","32","25","ETS-S-64","TT5519","19","RTV"
"6556617A","CSD87381P1-NS2","5","25","ETS-2-64","TT5579","79","MPC"
"6512615D","24735RGRR1-G2K","20","25","ETS-2-64","TT5561","61","RGR"
"6512615D","24735RGRR1-G2K","20","25","ETS-2-64","TT5514","14","RGR"
"6487925B","S54620RGYR1-G2","14","25","ETS-INA-64","TT5582","82","RHL"
"6487925B","S54620RGYR1-G2","14","25","ETS-1-64","TT5502","02","RGY"
"6487925B","S54620RGYR1-G2","14","25","ETS-0-64","TT5517","17","RGY"
"6575577B","PS62134DRGTR-L","16","25","ETS-2-128","TT5537","37","RGT"
"6524040A","2543QRTERQ1-G2","16","25","ETS-S-64","TT5520","20","RTE"
"6525585A","Q24296MRGER-G2","24","25","ETS-2-64","TT5547","47","RGE"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5586","86","RGE"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5534","34","RGE"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5574","74","RGE"
"6487925B","N1107017RHLR-L","14","25","ETS-INA-64","TT5528","28","RHL"
"6513992A","A2005D1DRBR-RK","8","25","ETM-4-64","TT5540","40","RGT"
"6505620C","PS28225DRBR1-C","8","25","ETS-0-64","TT5505","05","DRC"
"6525585A","Q24296MRGER-G2","24","25","ETS-2-64","TT5545","45","RGE"
"6525585A","Q24296MRGER-G2","24","25","ETS-2-64","TT5538","38","RGE"
"6525585A","Q24296MRGER-G2","24","25","ETS-2-64","TT5529","29","RGE"
"6525585A","Q24296MRGER-G2","24","25","ETS-2-64","TT5525","25","RGE"
"","86330Q3D1-GS2Y","8","25","ETS-200FT","TT5593","93","DQZ"
"6498316A","S51220ARSNR-LK","32","25","ETS-2-64","TT5578","78","RSN"
"6471369E","DRV401AIRGWR-Z","20","25","ETS-2-64","TT5518","18","RGW"
"6471369E","DRV401AIRGWR-Z","20","25","ETS-2-64","TT5581","81","RGW"
"","58872Q5D7-NS2Y","8","25","ETS-200FT","TT5555","55","DQY"
"6489159B","TPS73701DRBR-B","8","25","ETS-INA-64","TT5501","01","DRB"
"6545456B","S51367RVER-LNY","28","25","ETS-2-64","TT5512","12","RVE"
"6525585A","Q24296MRGER-G2","24","25","ETS-2-64","TT5511","11","RGE"
"6569306A","65633AKRTER-G2","16","25","ETS-2-128","TT5558","58","RTE"
"6471369E","DRV401AIRGWR-Z","20","25","ETS-2-64","TT5548","48","RGW"
"6552808A","PS62742DSSR-LK","12","25","ETS-2-64","TT5573","73","DSS"
"6504079A","PS61161DRVR-LK","6","25","ETM-4-64","TT5546","46","DRV"
"6462654A","PA6204A1DRBR-L","8","25","ETS-2-64","TT5565","65","DRB"
"6530035A","1218DSCR3-G2YK","10","25","ETS-2-128","TT5532","32","DSC"
"6571174A","S65175CRSHR-UN","56","25","ETS-2-64","TT5549","49","RSH"
"6503050A","PS65148CRHBR-U","32","85","ETS-INA-64","TT5508","08","RHB"
