Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5814301,62407QDRCRQ1-R,N,N,N,6774,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5849182,62406QDRCRQ1-R,N,N,N,6877,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5870576,62406QDRCRQ1-R,N,N,N,7134,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5891045,S65177RHAR1-G2,N,N,N,5155,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5894389,S65177RHAR1-G2,N,N,N,5133,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897351,S65177RHAR1-G2,N,N,N,5170,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897350,S65177RHAR1-G2,N,N,N,5124,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897352,S65177RHAR1-G2,N,N,N,5177,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897353,S65177RHAR1-G2,N,N,N,5170,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897354,S65177RHAR1-G2,N,N,N,5181,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897360,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897356,S65177RHAR1-G2,N,N,N,5165,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897347,S65177RHAR1-G2,N,N,N,5174,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897355,S65177RHAR1-G2,N,N,N,5165,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897359,S65177RHAR1-G2,N,N,N,5138,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897357,S65177RHAR1-G2,N,N,N,5178,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5897349,S65177RHAR1-G2,N,N,N,5178,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901073,S65177RHAR1-G2,N,N,N,5085,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901080,S65177RHAR1-G2,N,N,N,2655,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901075,S65177RHAR1-G2,N,N,N,5181,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901081,S65177RHAR1-G2,N,N,N,2551,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901078,S65177RHAR1-G2,N,N,N,4775,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901076,S65177RHAR1-G2,N,N,N,5156,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901079,S65177RHAR1-G2,N,N,N,5120,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901074,S65177RHAR1-G2,N,N,N,5104,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901072,S65177RHAR1-G2,N,N,N,5174,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901063,S65177RHAR1-G2,N,N,N,5121,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901065,S65177RHAR1-G2,N,N,N,5183,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901067,S65177RHAR1-G2,N,N,N,3119,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5901064,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
