actual_tester_index,tester_index,tester_config,loadboard_type,setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
,11,ETS-2-64,Q24296MRGER-G2,,10/09/2015 12:51:15,11,,,Y,10/09/2015 02:06:09
,11,ETS-2-64,BQ24196RGER-RY,setup change,10/10/2015 3:33:36,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,Q24296MRGER-G2,setup change,10/10/2015 17:57:39,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,BQ24196RGER-RY,setup change,10/9/2015 23:53:22,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,Q24296MRGER-G2,setup change,10/10/2015 14:15:27,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,BQ24196RGER-RY,setup change,10/9/2015 20:13:39,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,BQ24196RGER-RY,,10/10/2015 10:45:27,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,BQ24196RGER-RY,,10/9/2015 16:37:7,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,BQ24196RGER-RY,,10/10/2015 7:13:32,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,Q24296MRGER-G2,setup change,10/10/2015 21:39:22,11,,,N,10/09/2015 16:32:08
,11,ETS-2-64,Q24296MRGER-G2,,10/11/2015 1:20:18,11,,,N,10/11/2015 01:15:19
,12,ETS-2-64,S51367RVER-LNY,,10/09/2015 12:06:52,12,,,Y,10/09/2015 02:06:09
,12,ETS-2-64,S51362RVER-LNY,setup change,10/9/2015 14:39:28,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,setup change,10/9/2015 23:15:51,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,,10/10/2015 5:59:20,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51367RVER-LNY,setup change,10/10/2015 15:10:13,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51367RVER-LNY,,10/10/2015 23:16:34,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,setup change,10/9/2015 21:7:59,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,,10/10/2015 4:55:6,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51367RVER-LNY,setup change,10/10/2015 12:41:19,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51367RVER-LNY,,10/10/2015 21:11:24,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,setup change,10/9/2015 19:0:43,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,,10/10/2015 3:27:6,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51367RVER-LNY,setup change,10/10/2015 10:13:51,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51367RVER-LNY,,10/10/2015 19:58:51,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,setup change,10/9/2015 16:53:35,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,,10/10/2015 1:19:47,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,,10/10/2015 8:6:31,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51367RVER-LNY,setup change,10/10/2015 17:37:15,12,,,N,10/09/2015 14:34:29
,12,ETS-2-64,S51363RVER-LNY,setup change,10/11/2015 0:51:52,12,,,N,10/11/2015 00:46:53
,13,ETS-1-64,A8001DRBR2-G2K,,10/9/2015 7:49:18,13,,,N,10/09/2015 02:06:09
,13,ETS-1-64,A8001DRBR2-G2K,,10/10/2015 5:37:40,13,,,N,10/09/2015 02:06:09
,13,ETS-1-64,A8001DRBR2-G2K,,10/10/2015 19:56:33,13,,,N,10/09/2015 02:06:09
,13,ETS-1-64,A8001DRBR2-G2K,,10/9/2015 12:28:27,13,,,N,10/09/2015 02:06:09
,13,ETS-1-64,A8001DRBR2-G2K,,10/10/2015 11:20:36,13,,,N,10/09/2015 02:06:09
,13,ETS-1-64,A8001DRBR2-G2K,,10/9/2015 18:11:19,13,,,N,10/09/2015 02:06:09
