"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"1108026RHDR1-R","15",NULL,"66150","33075",NULL,"0","0","0","0","0","0","0"
NULL,"1218DSCR3-G2YK","9",NULL,"39690","19845",NULL,"0","0","0","0","0","0","0"
NULL,"1275B1RUKR-G2K","3",NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"1285ARUKR-G2KY","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"1305017RTER-G2","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"1306051RHRR-G2","4",NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"202027CRSLR-G2","3",NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"202027DRSLR-G2","4",NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"202027ERSLR-G2","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"202027LRSLR-G2","24",NULL,"105840","52920",NULL,"0","0","0","0","0","0","0"
NULL,"212005RHRR1-G2","20",NULL,"88200","44100",NULL,"0","0","0","0","0","0","0"
NULL,"24728HRGRR-G2K","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"24735RGRR1-G2K","11",NULL,"48510","24255",NULL,"0","0","0","0","0","0","0"
NULL,"24737RGRR1-G2K","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"2543QRTERQ1-G2","23",NULL,"101430","50715",NULL,"0","0","0","0","0","0","0"
NULL,"2592ZADRCR-G2K","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"285ARUKR1-G2KY","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"3515RVER1-LQN#","4",NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"401032DSGR1-G2","18",NULL,"79380","39690",NULL,"0","0","0","0","0","0","0"
NULL,"44C20RVFR-LQN#","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"44C20RVFT1-LN#","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"44C20RVFT2-LN#","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"4519RTER1-RQR&","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"4622RHLR1-LQR#","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"51211DSCR4-GYK","9",NULL,"39690","19845",NULL,"0","0","0","0","0","0","0"
NULL,"51218DSCR3-CYK","11",NULL,"48510","24255",NULL,"0","0","0","0","0","0","0"
NULL,"53219RGTR1-G2K","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"546QRTERQ11-G2","11",NULL,"48510","24255",NULL,"0","0","0","0","0","0","0"
NULL,"55340QRTERQ1-L","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"603V1RUNR-G2N#","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"65633AKRTER-G2","12",NULL,"52920","26460",NULL,"0","0","0","0","0","0","0"
NULL,"65633BKRTER-G2","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"7A8300RGWR-G2K","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"A8001DRBR1-G2K","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"A8001DRBR2-G2K","20",NULL,"88200","44100",NULL,"0","0","0","0","0","0","0"
NULL,"A8001DRBT2-G2K","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"BQ24130RHLR-G2","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"BQ24196RGER-RY","51",NULL,"224910","112455",NULL,"0","0","0","0","0","0","0"
NULL,"BQ24770RUYR-G2","20",NULL,"88200","44100",NULL,"0","0","0","0","0","0","0"
NULL,"BQ24777RUYR-G2","3",NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"BQ25890RTWR-G2","16",NULL,"70560","35280",NULL,"0","0","0","0","0","0","0"
NULL,"BQ25892RTWR-G2","19",NULL,"83790","41895",NULL,"0","0","0","0","0","0","0"
NULL,"BQ25895RTWR-G2","51",NULL,"224910","112455",NULL,"0","0","0","0","0","0","0"
NULL,"CD3211A1RGPR-L","13",NULL,"57330","28665",NULL,"0","0","0","0","0","0","0"
NULL,"CSD59968Q5M-LN","64",NULL,"282240","141120",NULL,"0","0","0","0","0","0","0"
NULL,"CSD87381P1-NS2","9",NULL,"39690","19845",NULL,"0","0","0","0","0","0","0"
NULL,"D3211A1RGPR-G2","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"D74110RVFR2-LN","8",NULL,"35280","17640",NULL,"0","0","0","0","0","0","0"
NULL,"D97374Q4M-LNKE","58",NULL,"255780","127890",NULL,"0","0","0","0","0","0","0"
NULL,"DRV401AIRGWR-Z","35",NULL,"154350","77175",NULL,"0","0","0","0","0","0","0"
NULL,"LV62130RGTR-LY","14",NULL,"61740","30870",NULL,"0","0","0","0","0","0","0"
NULL,"LV62150RGTR-LY","10",NULL,"44100","22050",NULL,"0","0","0","0","0","0","0"
NULL,"N1006030RTER-C","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"N1107017RHLR-L","3",NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"N1401038RTER-L","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS25200DRVR-G2","13",NULL,"57330","28665",NULL,"0","0","0","0","0","0","0"
NULL,"PS2560DRCR1-G2","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS28225DRBR1-C","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"PS53513RVER-LN","42",NULL,"185220","92610",NULL,"0","0","0","0","0","0","0"
NULL,"PS53515RVER-LN","26",NULL,"114660","57330",NULL,"0","0","0","0","0","0","0"
NULL,"PS54218RTER3-C","67",NULL,"295470","147735",NULL,"0","0","0","0","0","0","0"
NULL,"PS54320RHLR-G2","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS54326ARGTR-L","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"PS54561DPRR1-C","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"PS54622ARHLR-L","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS54678RTER-G2","11",NULL,"48510","24255",NULL,"0","0","0","0","0","0","0"
NULL,"PS54821RHLT2-R","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS55010RTER1-L","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"PS56121BDQPR-C","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS56121DQPR2-C","38",NULL,"167580","83790",NULL,"0","0","0","0","0","0","0"
NULL,"PS61088RHLR-G2","43",NULL,"189630","94815",NULL,"0","0","0","0","0","0","0"
NULL,"PS61093DSKR-CK","1",NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"PS61161DRVR-LK","7",NULL,"30870","15435",NULL,"0","0","0","0","0","0","0"
NULL,"PS62134DRGTR-L","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"PS62140RGTR-LY","2",NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"PS62410DRCR-RY","9",NULL,"39690","19845",NULL,"0","0","0","0","0","0","0"
NULL,"PS62742DSSR-LK","5",NULL,"22050","11025",NULL,"0","0","0","0","0","0","0"
NULL,"PS63031DSKR-CK","16",NULL,"70560","35280",NULL,"0","0","0","0","0","0","0"
NULL,"PS65023RSBR1-R","16",NULL,"70560","35280",NULL,"0","0","0","0","0","0","0"
