Machine,Time
CLFTEA11,50.8519
CLFTEA12,48.755
CLFTEA13,53.2785
CLFTEA14,48.6712
CLFTEA15,51.6402
CLFTEA17,53.0257
CLFTEA18,53.6518
CLFTEA19,52.8039
CLFTEA2,48.9016
CLFTEA20,50.3816
CLFTEA22,50.9562
CLFTEA23,60.4449
CLFTEA24,49.2259
CLFTEA25,50.6889
CLFTEA26,48.2403
CLFTEA27,52.1599
CLFTEA29,51.1163
CLFTEA3,52.7537
CLFTEA30,50.2046
CLFTEA31,53.4917
CLFTEA32,49.5349
CLFTEA33,51.2214
CLFTEA34,51.6052
CLFTEA35,51.4085
CLFTEA36,53.4364
CLFTEA37,51.5892
CLFTEA38,50.9634
CLFTEA39,57.4827
CLFTEA4,49.2437
CLFTEA40,49.3111
CLFTEA41,48.5331
CLFTEA42,49.3635
CLFTEA43,51.8389
CLFTEA44,56.9778
CLFTEA45,51.3316
CLFTEA46,53.7592
CLFTEA47,49.1436
CLFTEA48,50.9586
CLFTEA49,48.5823
CLFTEA5,50.597
CLFTEA50,60.2814
CLFTEA51,59.9261
CLFTEA52,48.9672
CLFTEA53,49.032
CLFTEA54,49.1513
CLFTEA56,50.7191
CLFTEA57,49.5511
CLFTEA58,49.7366
CLFTEA59,50.4491
CLFTEA6,52.7318
CLFTEA60,52.1371
CLFTEA61,51.5274
CLFTEA62,49.9126
CLFTEA63,48.5102
CLFTEA64,50.1903
CLFTEA65,50.2507
CLFTEA66,50.2524
CLFTEA67,56.1794
CLFTEA68,49.8322
CLFTEA69,50.1498
CLFTEA7,48.4311
CLFTEA70,56.1869
CLFTEA71,51.5234
CLFTEA72,52.2298
CLFTEA73,48.5753
CLFTEA74,50.7357
CLFTEA75,51.8384
CLFTEA76,55.8801
CLFTEA77,52.8409
CLFTEA78,49.8936
CLFTEA79,48.8086
CLFTEA80,50.729
CLFTEA81,52.6798
CLFTEA83,53.5364
CLFTEA84,51.6811
CLFTEA85,56.3014
CLFTEA86,50.8629
CLFTEA87,53.9326
CLFTEA88,52.5597
CLFTEA89,48.6506
CLFTEA9,52.7819
CLFTEA90,0
CLFTEA91,0
CLFTEA92,50.4248
CLFTEA95,0
CLFTEA97,53.5615
CLFTEA98,52.2579
CLFTEA99,49.2235
