"device","logpoint","quantity","average_capacity","Queue"
"03054DRCR1-G2Y","4410","79315","43477.19","1.82"
"090QRGTRQ12-G2","1410","13776","0","0"
"090QRGTRQ12-G2","1415","8053","0","0"
"090QRGTRQ12-G2","2100","11487","0","0"
"090QRGTRQ12-G2","4420","57647","0","0"
"1108026RHDR1-R","3000","7918","51023.3","0.16"
"1108026RHDR1-R","4410","116681","51023.3","2.29"
"1211DSCR1-G2YK","1400","13822","208380.42","0.07"
"1211DSCR1-G2YK","1410","13823","208380.42","0.07"
"1218DSCR3-G2YK","2150","13819","169531.12","0.08"
"1218DSCR3-G2YK","4410","124349","169531.12","0.73"
"122QRHLRQ1-BS2","4410","80705","0","0"
"1275B1RUKR-G2K","4410","38741","0","0"
"1285ARUKR-G2KY","4410","67120","107520","0.62"
"1304025RHBR-G2","4410","15788","55224.61","0.29"
"1305017RTER-G2","4410","82479","55821.74","1.48"
"1306051RHRR-G2","4410","18074","42013.53","0.43"
"1311031RHAR-G2","4410","5113","26283.66","0.19"
"1312DRCR1-G2KY","4410","13812","0","0"
"1622IDRCT-URR&","4410","5034","0","0"
"1688IDRGR-UZR&","4410","28331",NULL,"0"
"202027ARSLR-G2","1400","9201","93968.85","0.1"
"202027ARSLR-G2","1410","6801","93968.85","0.07"
"202027ARSLR-G2","1420","13742","93968.85","0.15"
"202027ARSLR-G2","1460","5091","93968.85","0.05"
"202027CRSLR-G2","3000","5182","90582.23","0.06"
"202027CRSLR-G2","4410","11465","90582.23","0.13"
"202027DRSLR-G2","4410","18693","88948.54","0.21"
"202027ERSLR-G2","4410","25682","92302.05","0.28"
"202027LRSLR-G2","1400","2968","88198.14","0.03"
"202027LRSLR-G2","4410","144409","88198.14","1.64"
"204036RHAR1-G2","4410","54442","24524.04","2.22"
"212005RHRR1-G2","1400","12957","41922.29","0.31"
"212005RHRR1-G2","1410","6480","41922.29","0.15"
"212005RHRR1-G2","1420","6474","41922.29","0.15"
"212005RHRR1-G2","1460","6479","41922.29","0.15"
"212005RHRR1-G2","2100","6473","41922.29","0.15"
"212005RHRR1-G2","3000","3238","41922.29","0.08"
"212005RHRR1-G2","4410","88683","41922.29","2.12"
"2402QDRRRQ1-G2","4410","16716","187042.91","0.09"
"24296MRGER-G2Y","1410","60003",NULL,"0"
"24296MRGER-G2Y","1450","10021",NULL,"0"
"24296MRGER-G2Y","2100","25028",NULL,"0"
"24296MRGER-G2Y","3000","9772",NULL,"0"
"24296MRGER-G2Y","4410","29296",NULL,"0"
"24728HRGRR-G2K","4410","74255","84037.87","0.88"
