Machine_Family,Machine_Instance,Machine_Family_Name,Initial_Tool_Family,Initial_Certification
ETS-2-64            ,CLFTEA72   ,ETS-2-64            ,6529253A,1
ETM-5-128           ,CLFTEA54   ,ETM-5-128           ,6579768C,1
ETS-2-64            ,CLFTEA43   ,ETS-2-64            ,6518677A,1
ETS-2-64            ,CLFTEA59   ,ETS-2-64            ,6528917B,1
ETS-2-64            ,CLFTEA73   ,ETS-2-64            ,6506370A,1
ETM-5-128           ,CLFTEA92   ,ETM-5-128           ,6579768C,1
ETM-5-128           ,CLFTEA53   ,ETM-5-128           ,6570166B,1
ETM-5-128           ,CLFTEA89   ,ETM-5-128           ,6580945B,1
ETS-2-64            ,CLFTEA69   ,ETS-2-64            ,6514494A,1
ETS-2M-64           ,CLFTEA35   ,ETS-2M-64           ,6527607B,2
ETS-2-64            ,CLFTEA27   ,ETS-2-64            ,6512302B,1
ETS-2-64            ,CLFTEA75   ,ETS-2-64            ,6571495A,1
ETS-2-64            ,CLFTEA33   ,ETS-2-64            ,6571495A,1
ETS-2-64            ,CLFTEA68   ,ETS-2-64            ,6571495A,1
ETS-2-64            ,CLFTEA63   ,ETS-2-64            ,6543758C,1
ETS-1-64            ,CLFTEA13   ,ETS-1-64            ,6512302B,1
ETS-2-64            ,CLFTEA77   ,ETS-2-64            ,6566885A,1
ETS-2-64            ,CLFTEA66   ,ETS-2-64            ,6578688B,1
ETM-4-64            ,CLFTEA46   ,ETM-4-64            ,6546767B,1
ETM-4-64            ,CLFTEA87   ,ETM-4-64            ,6513992A,1
ETM-4-64            ,CLFTEA40   ,ETM-4-64            ,6513992A,1
ETS-2-64            ,CLFTEA61   ,ETS-2-64            ,6512615D,1
ETS-2-64            ,CLFTEA64   ,ETS-2-64            ,6518552B,1
ETS-2-64            ,CLFTEA31   ,ETS-2-64            ,6547181A,1
ETS-2-128           ,CLFTEA32   ,ETS-2-128           ,6530035A,1
ETS-2-64            ,CLFTEA76   ,ETS-2-64            ,6516230D,1
ETS-2-64            ,CLFTEA29   ,ETS-2-64            ,6525585A,1
ETS-1M-64           ,CLFTEA71   ,ETS-1M-64           ,6487925B,1
ETS-2-64            ,CLFTEA50   ,ETS-2-64            ,6493741B,1
ETS-0-64            ,CLFTEA17   ,ETS-0-64            ,6487925B,1
ETS-2-128           ,CLFTEA58   ,ETS-2-128           ,6569306A,1
ETS-2-128           ,CLFTEA37   ,ETS-2-128           ,6575577B,1
ETS-2-64            ,CLFTEA48   ,ETS-2-64            ,6471369E,1
ETS-2-64            ,CLFTEA47   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA81   ,ETS-2-64            ,6471369E,1
ETS-2-64            ,CLFTEA79   ,ETS-2-64            ,6554905A,1
ETS-2-64            ,CLFTEA11   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA45   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA86   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA25   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA84   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA74   ,ETS-2-64            ,6525585A,1
ETS-2-64            ,CLFTEA38   ,ETS-2-64            ,6525585A,1
