LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5827984,090QRGTRQ12-G2,3X3           ,RGT300       ,10676,3669.00,5827984,4420,1,        17.76,      18.49,     37.96,,10/12/2015 06:06:11,
5827985,090QRGTRQ12-G2,3X3           ,RGT300       ,6605,3669.00,5827985,4420,1,        17.76,      18.49,     37.96,,10/12/2015 06:06:11,
5827983,090QRGTRQ12-G2,3X3           ,RGT300       ,13135,3669.00,5827983,4420,1,        17.76,      18.49,     37.96,,10/12/2015 06:06:11,
5894150,090QRGTRQ12-G2,3X3           ,RGT300       ,13665,1778.00,5894150,4420,1,        19.01,      18.49,      17.8,,10/12/2015 06:06:11,
5894148,090QRGTRQ12-G2,3X3           ,RGT300       ,11157,1778.00,5894148,4420,1,        19.01,      18.49,      17.8,,10/12/2015 06:06:11,
5894152,090QRGTRQ12-G2,3X3           ,RGT300       ,7975,1778.00,5894152,4420,1,        19.01,      18.49,      17.8,,10/12/2015 06:06:11,
5894151,090QRGTRQ12-G2,3X3           ,RGT300       ,13566,1778.00,5894151,4420,1,        19.01,      18.49,      17.8,,10/12/2015 06:06:11,
5672538,PS65168RSBR1-R,5X5           ,RSB          ,7704,8866.00,5672538,4410,1,        14.78,      12.39,     86.81,,10/12/2015 06:06:11,
5761802,PS56121BDQPR-C,6X5           ,DQPCLIP      ,5904,7392.00,5761802,4410,1,        19.86,       15.5,     70.11,,10/12/2015 06:06:11,
5727254,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,3315,7344.00,5727254,4410,1,        17.93,      12.88,     68.94,,10/12/2015 06:06:11,
5727255,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,3554,7344.00,5727255,4410,1,        17.93,      12.88,     68.94,,10/12/2015 06:06:11,
5727251,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,3461,7344.00,5727251,4410,1,        17.93,      12.88,     68.94,,10/12/2015 06:06:11,
5944869,Q24296MRGER-G2,4X4           ,RGE300       ,77,6936.00,5944869,4410,1,        14.45,      12.34,      67.8,,10/12/2015 06:06:11,
5775940,SD87381P6-UNR&,3X2.5         ,MPCMCMST     ,13417,6362.00,5775940,4410,1,         14.1,       4.07,     54.13,,10/12/2015 06:06:11,
5769741,603V1RUNR-G2N#,2X2           ,RUNST300     ,24460,5894.00,5769741,4410,1,        17.76,       14.1,     55.83,,10/12/2015 06:06:11,
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,15108,5333.00,5785851,4410,1,        16.19,      13.06,     50.74,,10/12/2015 06:06:11,
5796993,603V1RUNR-G2N#,2X2           ,RUNST300     ,24648,5002.00,5796993,4410,1,        17.25,       14.1,     47.41,,10/12/2015 06:06:11,
5805932,AFE032IRGZT-C ,7X7           ,RGZVTT       ,4319,4776.00,5805932,4410,1,        19.37,      15.94,     44.87,,10/12/2015 06:06:11,
5805931,AFE032IRGZT-C ,7X7           ,RGZVTT       ,4419,4776.00,5805931,4410,1,        19.37,      15.94,     44.87,,10/12/2015 06:06:11,
5805928,AFE032IRGZT-C ,7X7           ,RGZVTT       ,4458,4776.00,5805928,4410,1,        19.37,      15.94,     44.87,,10/12/2015 06:06:11,
5805930,AFE032IRGZT-C ,7X7           ,RGZVTT       ,4362,4776.00,5805930,4410,1,        19.37,      15.94,     44.87,,10/12/2015 06:06:11,
5799219,PS54678RTER-G2,3X3           ,RTE300       ,13794,4688.00,5799219,4410,1,           13,      12.36,     46.78,10/11/2015 11:38:40,10/12/2015 06:06:11,CLFTEA72
5944792,2592AADRCR-G2K,3X3           ,DRC          ,77,4651.00,5944792,4410,1,        12.94,      12.34,     46.45,,10/12/2015 06:06:11,
5809974,BQ25892RTWR-G2,4X4           ,RTWST300     ,10076,4480.00,5809974,4410,1,         14.7,      13.06,      43.7,10/11/2015 03:14:04,10/12/2015 06:06:11,CLFTEA54
5809978,BQ25892RTWR-G2,4X4           ,RTWST300     ,8719,4480.00,5809978,4410,1,         14.7,      13.06,      43.7,,10/12/2015 06:06:11,
5855831,TPS73701DRBR-B,3X3           ,DRB          ,7626,4370.00,5855831,4410,1,        12.79,      12.02,     43.48,,10/12/2015 06:06:11,
5818045,44C20RVFR-LQN#,7X5           ,RVFCLIP      ,3536,4198.00,5818045,4410,1,        14.46,      12.82,     40.89,,10/12/2015 06:06:11,
5821055,PS61093DSKR-CK,2.5X2.5       ,DSKST        ,10009,4142.00,5821055,4410,1,        14.97,      13.06,     40.06,,10/12/2015 06:06:11,
5824483,3515RVER1-LQN#,4.5X3.5       ,RVECLIP      ,7721,4010.00,5824483,4410,1,        14.56,      12.88,     38.97,,10/12/2015 06:06:11,
5824484,3515RVER1-LQN#,4.5X3.5       ,RVECLIP      ,7713,4010.00,5824484,4410,1,        14.56,      12.88,     38.97,,10/12/2015 06:06:11,
5824486,3515RVER1-LQN#,4.5X3.5       ,RVECLIP      ,7676,4010.00,5824486,4410,1,        14.56,      12.88,     38.97,,10/12/2015 06:06:11,
5824487,3515RVER1-LQN#,4.5X3.5       ,RVECLIP      ,6944,4010.00,5824487,4410,1,        14.56,      12.88,     38.97,,10/12/2015 06:06:11,
5829011,S62420DRCR-RR#,3X3           ,DRCLLF       ,14154,3879.00,5829011,4410,1,        13.17,      11.55,     37.72,,10/12/2015 06:06:11,
5827986,55340QRTERQ1-L,3X3           ,RTE          ,9861,3854.00,5827986,4410,1,        13.61,      12.49,     37.96,,10/12/2015 06:06:11,
5832166,S54335ADRCR-G2,3X3           ,DRC          ,13813,3680.00,5832166,4410,1,        12.97,      12.34,     36.72,,10/12/2015 06:06:11,
5832168,S54335ADRCR-G2,3X3           ,DRC          ,13812,3680.00,5832168,4410,1,        12.97,      12.34,     36.72,,10/12/2015 06:06:11,
5832167,S54335ADRCR-G2,3X3           ,DRC          ,13805,3680.00,5832167,4410,1,        12.97,      12.34,     36.72,,10/12/2015 06:06:11,
5832169,S54335ADRCR-G2,3X3           ,DRC          ,7502,3680.00,5832169,4410,1,        12.97,      12.34,     36.72,,10/12/2015 06:06:11,
5838103,55340QRTERQ1-L,3X3           ,RTE          ,12259,3520.00,5838103,4410,1,        13.61,      12.49,     34.62,,10/12/2015 06:06:11,
5838106,55340QRTERQ1-L,3X3           ,RTE          ,6846,3520.00,5838106,4410,1,        13.61,      12.49,     34.62,,10/12/2015 06:06:11,
5842047,BQ25895RTWR-G2,4X4           ,RTWST300     ,5598,3512.00,5842047,4410,1,        15.28,      13.06,     33.44,,10/12/2015 06:06:11,
5842045,BQ25895RTWR-G2,4X4           ,RTWST300     ,10077,3512.00,5842045,4410,1,        15.28,      13.06,     33.44,,10/12/2015 06:06:11,
5840275,BQ24196RGER-RY,4X4           ,RGELLF       ,9128,3488.00,5840275,4410,1,        13.71,      12.26,     33.97,,10/12/2015 06:06:11,
5841055,PS54622ARHLR-L,3.5X3.5       ,RHL          ,7908,3400.00,5841055,4410,1,         13.2,      12.39,     33.73,,10/12/2015 06:06:11,
5847702,CD3211A1RGPR-L,4X4           ,RGPST        ,7305,3345.00,5847702,4410,1,        15.28,      13.06,     31.77,,10/12/2015 06:06:11,
5850048,PS53513RVER-LN,4.5X3.5       ,RVECLIP      ,7785,3173.00,5850048,4410,1,        16.63,       15.5,     31.15,,10/12/2015 06:06:11,
5849749,PS65168RSBR1-R,5X5           ,RSB          ,7125,3151.00,5849749,4410,1,         13.2,      12.39,     31.24,,10/12/2015 06:06:11,
5849753,PS65168RSBR1-R,5X5           ,RSB          ,7438,3151.00,5849753,4410,1,         13.2,      12.39,     31.24,,10/12/2015 06:06:11,
5849754,PS65168RSBR1-R,5X5           ,RSB          ,7884,3151.00,5849754,4410,1,         13.2,      12.39,     31.24,,10/12/2015 06:06:11,
5849750,PS65168RSBR1-R,5X5           ,RSB          ,7876,3151.00,5849750,4410,1,         13.2,      12.39,     31.24,,10/12/2015 06:06:11,
5849755,PS65168RSBR1-R,5X5           ,RSB          ,4538,3151.00,5849755,4410,1,         13.2,      12.39,     31.24,,10/12/2015 06:06:11,
5849752,PS65168RSBR1-R,5X5           ,RSB          ,7912,3151.00,5849752,4410,1,         13.2,      12.39,     31.24,,10/12/2015 06:06:11,
5849751,PS65168RSBR1-R,5X5           ,RSB          ,7536,3151.00,5849751,4410,1,         13.2,      12.39,     31.24,,10/12/2015 06:06:11,
5849756,PS65168RSBR1-R,5X5           ,RSB          ,3869,3151.00,5849756,4410,1,         13.2,      12.39,     31.24,,10/12/2015 06:06:11,
5861545,A8001DRBR1-G2K,3X3           ,DRBST300     ,13821,2934.00,5861545,4410,1,        15.46,      13.02,     27.45,,10/12/2015 06:06:11,
5861075,BQ25895RTWR-G2,4X4           ,RTWST300     ,9784,2926.00,5861075,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861071,BQ25895RTWR-G2,4X4           ,RTWST300     ,5038,2926.00,5861071,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861063,BQ25895RTWR-G2,4X4           ,RTWST300     ,10068,2926.00,5861063,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861062,BQ25895RTWR-G2,4X4           ,RTWST300     ,10078,2926.00,5861062,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861069,BQ25895RTWR-G2,4X4           ,RTWST300     ,10045,2926.00,5861069,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861064,BQ25895RTWR-G2,4X4           ,RTWST300     ,10078,2926.00,5861064,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861073,BQ25895RTWR-G2,4X4           ,RTWST300     ,10079,2926.00,5861073,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861067,BQ25895RTWR-G2,4X4           ,RTWST300     ,10046,2926.00,5861067,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861065,BQ25895RTWR-G2,4X4           ,RTWST300     ,9799,2926.00,5861065,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861066,BQ25895RTWR-G2,4X4           ,RTWST300     ,5029,2926.00,5861066,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861076,BQ25895RTWR-G2,4X4           ,RTWST300     ,4994,2926.00,5861076,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861070,BQ25895RTWR-G2,4X4           ,RTWST300     ,9106,2926.00,5861070,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5861068,BQ25895RTWR-G2,4X4           ,RTWST300     ,10078,2926.00,5861068,4410,1,        15.28,      13.06,     27.59,,10/12/2015 06:06:11,
5858459,S54335ADRCR-G2,3X3           ,DRC          ,11498,2864.00,5858459,4410,1,         13.1,      12.34,     28.43,,10/12/2015 06:06:11,
5858451,S54335ADRCR-G2,3X3           ,DRC          ,13815,2864.00,5858451,4410,1,         13.1,      12.34,     28.43,,10/12/2015 06:06:11,
5858455,S54335ADRCR-G2,3X3           ,DRC          ,13778,2864.00,5858455,4410,1,         13.1,      12.34,     28.43,,10/12/2015 06:06:11,
5858457,S54335ADRCR-G2,3X3           ,DRC          ,13802,2864.00,5858457,4410,1,         13.1,      12.34,     28.43,,10/12/2015 06:06:11,
5858458,S54335ADRCR-G2,3X3           ,DRC          ,13813,2864.00,5858458,4410,1,         13.1,      12.34,     28.43,,10/12/2015 06:06:11,
5858456,S54335ADRCR-G2,3X3           ,DRC          ,13675,2864.00,5858456,4410,1,         13.1,      12.34,     28.43,,10/12/2015 06:06:11,
5865134,BQ25892RTWR-G2,4X4           ,RTWST300     ,10040,2834.00,5865134,4410,1,        15.52,      13.06,     26.43,,10/12/2015 06:06:11,
