LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5827984,090QRGTRQ12-G2,3X3           ,RGT300       ,     10676,      3669,5827984     ,4420,1,        17.76,      18.49,     37.96,                   ,10/12/2015 06:06:11,
5827985,090QRGTRQ12-G2,3X3           ,RGT300       ,      6605,      3669,5827985     ,4420,1,        17.76,      18.49,     37.96,                   ,10/12/2015 06:06:11,
5827983,090QRGTRQ12-G2,3X3           ,RGT300       ,     13135,      3669,5827983     ,4420,1,        17.76,      18.49,     37.96,                   ,10/12/2015 06:06:11,
5894150,090QRGTRQ12-G2,3X3           ,RGT300       ,     13665,      1778,5894150     ,4420,1,        19.01,      18.49,      17.8,                   ,10/12/2015 06:06:11,
5894148,090QRGTRQ12-G2,3X3           ,RGT300       ,     11157,      1778,5894148     ,4420,1,        19.01,      18.49,      17.8,                   ,10/12/2015 06:06:11,
5894152,090QRGTRQ12-G2,3X3           ,RGT300       ,      7975,      1778,5894152     ,4420,1,        19.01,      18.49,      17.8,                   ,10/12/2015 06:06:11,
5894151,090QRGTRQ12-G2,3X3           ,RGT300       ,     13566,      1778,5894151     ,4420,1,        19.01,      18.49,      17.8,                   ,10/12/2015 06:06:11,
5491459,4519RTER1-RQR&,3X3           ,RTEST        ,      8685,     14123,5491459     ,4410,1,        15.98,      13.06,    138.86,                   ,10/12/2015 06:06:11,
5491458,4519RTER1-RQR&,3X3           ,RTEST        ,     11443,     14123,5491458     ,4410,1,        15.98,      13.06,    138.86,                   ,10/12/2015 06:06:11,
5672538,PS65168RSBR1-R,5X5           ,RSB          ,      7704,      8866,5672538     ,4410,1,        14.78,      12.39,     86.81,                   ,10/12/2015 06:06:11,
5787329,5372AQ5M5-LQN#,6X5           ,DQPCLIP      ,      2408,      7806,5787329     ,4410,1,            0,      12.75,     91.35,                   ,10/12/2015 06:06:11,
5714747,2402QDRRRQ1-G2,3X3           ,DRR300ST     ,      8406,      7577,5714747     ,4410,1,        17.49,      14.15,     72.98,                   ,10/12/2015 06:06:11,
5761802,PS56121BDQPR-C,6X5           ,DQPCLIP      ,      5904,      7392,5761802     ,4410,1,        19.86,       15.5,     70.11,                   ,10/12/2015 06:06:11,
5727254,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,      3315,      7344,5727254     ,4410,1,        17.93,      12.88,     68.94,                   ,10/12/2015 06:06:11,
5727255,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,      3554,      7344,5727255     ,4410,1,        17.93,      12.88,     68.94,                   ,10/12/2015 06:06:11,
5727251,44C20RVFT2-LN#,7X5           ,RVFCLIP      ,      3461,      7344,5727251     ,4410,1,        17.93,      12.88,     68.94,                   ,10/12/2015 06:06:11,
5944869,Q24296MRGER-G2,4X4           ,RGE300       ,        77,      6936,5944869     ,4410,1,        14.45,      12.34,      67.8,                   ,10/12/2015 06:06:11,
5738519,2402QDRRRQ1-G2,3X3           ,DRR300ST     ,      8310,      6867,5738519     ,4410,1,        17.89,      14.15,     65.47,                   ,10/12/2015 06:06:11,
5747310,SD97370Q5M2-LN,6X5           ,DQPCLIP      ,      2785,      6689,5747310     ,4410,1,        20.11,       15.5,     62.82,                   ,10/12/2015 06:06:11,
5749394,25810RVCR-G2R#,4X3           ,RVC300ST     ,      3399,      6429,5749394     ,4410,1,        15.66,      13.06,     62.23,                   ,10/12/2015 06:06:11,
5775940,SD87381P6-UNR&,3X2.5         ,MPCMCMST     ,     13417,      6362,5775940     ,4410,1,         14.1,       4.07,     54.13,                   ,10/12/2015 06:06:11,
5760782,BQ29700DSER-G2,1.5X1.5       ,DSEST300     ,     20748,      6036,5760782     ,4410,1,        16.15,      13.99,     58.75,                   ,10/12/2015 06:06:11,
